Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient (Level 3 or 4),Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2016-2017,2242,Tigard-Tualatin SD 23J,1140,Metzger Elementary School,English Language Arts,Pacific Islander,All Grades,2,28.6,1,14.3,1,14.3,2,28.6,3,42.9,9,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1140,Metzger Elementary School,English Language Arts,SWD with Accommodations,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2242,Tigard-Tualatin SD 23J,1140,Metzger Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,4,10.3,1,2.6,3,7.7,9,23.1,26,66.7,39,97.5
2016-2017,2242,Tigard-Tualatin SD 23J,1140,Metzger Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,8,88.9,8,88.9,0,0.0,1,11.1,0,0.0,9,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1140,Metzger Elementary School,English Language Arts,Total Population (All Students),All Grades,134,40.5,65,19.6,69,20.8,81,24.5,116,35.0,335,99.7
2016-2017,2242,Tigard-Tualatin SD 23J,1140,Metzger Elementary School,English Language Arts,White,All Grades,93,58.9,51,32.3,42,26.6,36,22.8,29,18.4,159,99.4
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Asian,All Grades,5,71.4,2,28.6,3,42.9,1,14.3,1,14.3,7,87.5
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Econo. Disadvantaged,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Female,All Grades,46,82.1,22,39.3,24,42.9,8,14.3,2,3.6,56,98.2
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Hispanic/Latino,All Grades,5,45.5,3,27.3,2,18.2,4,36.4,2,18.2,11,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,English Learners,All Grades,2,28.6,1,14.3,1,14.3,3,42.9,2,28.6,7,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Male,All Grades,35,50.7,14,20.3,21,30.4,20,29.0,14,20.3,69,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Multi-Racial,All Grades,8,72.7,2,18.2,6,54.5,2,18.2,1,9.1,11,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Students with Disabilities (SWD),All Grades,5,35.7,0,0.0,5,35.7,2,14.3,7,50.0,14,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,Total Population (All Students),All Grades,81,64.8,36,28.8,45,36.0,28,22.4,16,12.8,125,99.2
2016-2017,2242,Tigard-Tualatin SD 23J,3579,Multi-sensory Instruction Teaching Children Hands-On (MITCH),English Language Arts,White,All Grades,62,66.7,29,31.2,33,35.5,21,22.6,10,10.8,93,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Asian,All Grades,31,73.8,16,38.1,15,35.7,9,21.4,2,4.8,42,97.7
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Black/African American,All Grades,6,35.3,0,0.0,6,35.3,8,47.1,3,17.6,17,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Econo. Disadvantaged,All Grades,115,40.9,18,6.4,97,34.5,106,37.7,60,21.4,284,99.0
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Female,All Grades,237,67.1,79,22.4,158,44.8,80,22.7,36,10.2,354,98.6
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Hispanic/Latino,All Grades,64,37.9,15,8.9,49,29.0,66,39.1,39,23.1,171,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,English Learners,All Grades,6,9.8,0,0.0,6,9.8,25,41.0,30,49.2,64,97.0
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Male,All Grades,231,57.6,62,15.5,169,42.1,116,28.9,54,13.5,403,97.8
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Multi-Racial,All Grades,39,76.5,14,27.5,25,49.0,9,17.6,3,5.9,51,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Pacific Islander,All Grades,5,50.0,0,0.0,5,50.0,4,40.0,1,10.0,11,91.7
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,SWD with Accommodations,All Grades,4,12.5,0,0.0,4,12.5,7,21.9,21,65.6,32,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Students with Disabilities (SWD),All Grades,11,15.7,0,0.0,11,15.7,25,35.7,34,48.6,70,95.9
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Talented and Gifted (TAG),All Grades,70,92.1,53,69.7,17,22.4,5,6.6,1,1.3,76,95.0
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,Total Population (All Students),All Grades,468,62.1,141,18.7,327,43.4,196,26.0,90,11.9,757,98.2
2016-2017,2242,Tigard-Tualatin SD 23J,1144,Thomas R Fowler Middle School,English Language Arts,White,All Grades,320,69.6,95,20.7,225,48.9,98,21.3,42,9.1,460,97.5
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Asian,All Grades,15,78.9,11,57.9,4,21.1,4,21.1,0,0.0,19,76.0
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Black/African American,All Grades,6,75.0,3,37.5,3,37.5,0,0.0,2,25.0,8,88.9
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Econo. Disadvantaged,All Grades,89,63.1,28,19.9,61,43.3,26,18.4,26,18.4,145,98.0
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Female,All Grades,129,77.7,78,47.0,51,30.7,22,13.3,15,9.0,169,81.3
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Hispanic/Latino,All Grades,61,57.0,20,18.7,41,38.3,22,20.6,24,22.4,109,96.5
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Indian Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,English Learners,All Grades,3,15.0,0,0.0,3,15.0,5,25.0,12,60.0,24,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Male,All Grades,176,71.5,74,30.1,102,41.5,36,14.6,34,13.8,247,93.9
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Multi-Racial,All Grades,24,92.3,11,42.3,13,50.0,1,3.8,1,3.8,26,96.3
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Pacific Islander,All Grades,4,50.0,0,0.0,4,50.0,2,25.0,2,25.0,9,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Students with Disabilities (SWD),All Grades,16,31.4,2,3.9,14,27.5,12,23.5,23,45.1,51,96.2
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,Total Population (All Students),All Grades,305,74.0,152,36.9,153,37.1,58,14.1,49,11.9,416,88.3
2016-2017,2242,Tigard-Tualatin SD 23J,1146,Tigard High School,English Language Arts,White,All Grades,194,80.2,106,43.8,88,36.4,28,11.6,20,8.3,243,85.0
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Asian,All Grades,5,71.4,2,28.6,3,42.9,1,14.3,1,14.3,7,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,51,42.9,17,14.3,34,28.6,27,22.7,41,34.5,123,99.2
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Female,All Grades,74,60.7,46,37.7,28,23.0,23,18.9,25,20.5,122,99.2
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Hispanic/Latino,All Grades,38,41.3,13,14.1,25,27.2,18,19.6,36,39.1,95,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,English Learners,All Grades,8,18.2,0,0.0,8,18.2,10,22.7,26,59.1,48,98.0
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Male,All Grades,99,62.3,41,25.8,58,36.5,28,17.6,32,20.1,163,99.4
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Multi-Racial,All Grades,6,60.0,5,50.0,1,10.0,2,20.0,2,20.0,10,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,SWD with Accommodations,All Grades,2,8.3,0,0.0,2,8.3,10,41.7,12,50.0,24,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,5,12.5,1,2.5,4,10.0,15,37.5,20,50.0,40,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,Total Population (All Students),All Grades,173,61.6,87,31.0,86,30.6,51,18.1,57,20.3,285,99.3
2016-2017,2242,Tigard-Tualatin SD 23J,1143,Tualatin Elementary School,English Language Arts,White,All Grades,118,72.4,63,38.7,55,33.7,28,17.2,17,10.4,164,98.8
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Asian,All Grades,25,92.6,16,59.3,9,33.3,2,7.4,0,0.0,27,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Black/African American,All Grades,6,75.0,2,25.0,4,50.0,0,0.0,2,25.0,8,88.9
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Econo. Disadvantaged,All Grades,67,56.3,29,24.4,38,31.9,29,24.4,23,19.3,121,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Female,All Grades,196,85.6,126,55.0,70,30.6,24,10.5,9,3.9,230,96.2
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Hispanic/Latino,All Grades,61,53.0,25,21.7,36,31.3,30,26.1,24,20.9,116,99.1
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,English Learners,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Male,All Grades,161,70.6,86,37.7,75,32.9,37,16.2,30,13.2,229,99.1
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Multi-Racial,All Grades,14,73.7,11,57.9,3,15.8,4,21.1,1,5.3,19,95.0
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Pacific Islander,All Grades,3,37.5,0,0.0,3,37.5,5,62.5,0,0.0,9,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Students with Disabilities (SWD),All Grades,7,21.9,5,15.6,2,6.3,7,21.9,18,56.3,32,97.0
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,Total Population (All Students),All Grades,357,78.1,212,46.4,145,31.7,61,13.3,39,8.5,459,97.7
2016-2017,2242,Tigard-Tualatin SD 23J,1301,Tualatin High School,English Language Arts,White,All Grades,246,88.8,158,57.0,88,31.8,19,6.9,12,4.3,277,97.2
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Asian,All Grades,75,86.2,39,44.8,36,41.4,10,11.5,2,2.3,87,98.9
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Black/African American,All Grades,8,44.4,5,27.8,3,16.7,7,38.9,3,16.7,18,85.7
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Econo. Disadvantaged,All Grades,153,45.5,35,10.4,118,35.1,95,28.3,88,26.2,340,97.7
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Extended Assessment,All Grades,5,71.4,2,28.6,3,42.9,2,28.6,0,0.0,7,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Female,All Grades,381,74.1,171,33.3,210,40.9,80,15.6,53,10.3,515,96.8
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Hispanic/Latino,All Grades,123,49.8,26,10.5,97,39.3,69,27.9,55,22.3,249,98.8
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Indian Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,English Learners,All Grades,10,13.7,2,2.7,8,11.0,17,23.3,46,63.0,78,97.5
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Male,All Grades,298,62.5,104,21.8,194,40.7,104,21.8,75,15.7,481,97.2
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Multi-Racial,All Grades,40,60.6,15,22.7,25,37.9,14,21.2,12,18.2,66,95.7
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Pacific Islander,All Grades,5,31.3,1,6.3,4,25.0,2,12.5,9,56.3,17,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,SWD with Accommodations,All Grades,5,13.2,0,0.0,5,13.2,13,34.2,20,52.6,38,100.0
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Students with Disabilities (SWD),All Grades,16,17.0,5,5.3,11,11.7,34,36.2,44,46.8,94,96.9
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,Total Population (All Students),All Grades,679,68.5,275,27.7,404,40.8,184,18.6,128,12.9,996,97.0
2016-2017,2242,Tigard-Tualatin SD 23J,1145,Twality Middle School,English Language Arts,White,All Grades,427,76.8,189,34.0,238,42.8,82,14.7,47,8.5,558,96.4
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,81,28.9,16,5.7,65,23.2,79,28.2,120,42.9,282,100.0
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Female,All Grades,125,50.8,47,19.1,78,31.7,55,22.4,66,26.8,247,100.0
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Hispanic/Latino,All Grades,30,23.1,4,3.1,26,20.0,41,31.5,59,45.4,132,100.0
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,2,25.0,1,12.5,1,12.5,4,50.0,2,25.0,8,100.0
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,English Learners,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Male,All Grades,77,30.9,20,8.0,57,22.9,67,26.9,105,42.2,250,100.0
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Migrant Education,All Grades,4,18.2,0,0.0,4,18.2,6,27.3,12,54.5,22,100.0
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Multi-Racial,All Grades,3,21.4,3,21.4,0,0.0,5,35.7,6,42.9,14,100.0
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,6,13.3,1,2.2,5,11.1,6,13.3,33,73.3,45,100.0
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,Total Population (All Students),All Grades,202,40.8,67,13.5,135,27.3,122,24.6,171,34.5,497,100.0
2016-2017,2197,Tillamook SD 9,1012,East Elementary School,English Language Arts,White,All Grades,165,49.0,59,17.5,106,31.5,70,20.8,102,30.3,337,100.0
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,25,26.0,5,5.2,20,20.8,27,28.1,44,45.8,97,100.0
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Female,All Grades,41,45.1,18,19.8,23,25.3,22,24.2,28,30.8,92,100.0
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Hispanic/Latino,All Grades,12,23.5,3,5.9,9,17.6,12,23.5,27,52.9,52,100.0
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,English Learners,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Male,All Grades,21,25.6,4,4.9,17,20.7,25,30.5,36,43.9,82,100.0
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Migrant Education,All Grades,2,28.6,0,0.0,2,28.6,1,14.3,4,57.1,7,100.0
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Multi-Racial,All Grades,2,25.0,1,12.5,1,12.5,3,37.5,3,37.5,8,100.0
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,3,12.0,0,0.0,3,12.0,8,32.0,14,56.0,25,100.0
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,Total Population (All Students),All Grades,62,35.8,22,12.7,40,23.1,47,27.2,64,37.0,174,100.0
2016-2017,2197,Tillamook SD 9,1014,South Prairie Elementary School,English Language Arts,White,All Grades,46,43.4,17,16.0,29,27.4,28,26.4,32,30.2,106,100.0
2016-2017,2197,Tillamook SD 9,1017,Tillamook High School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1017,Tillamook High School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2197,Tillamook SD 9,1017,Tillamook High School,English Language Arts,Econo. Disadvantaged,All Grades,38,63.3,11,18.3,27,45.0,14,23.3,8,13.3,61,98.4
2016-2017,2197,Tillamook SD 9,1017,Tillamook High School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
