Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient (Level 3 or 4),Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,Hispanic/Latino,All Grades,29,20.3,9,6.3,20,14.0,40,28.0,74,51.7,145,99.3
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,English Learners,All Grades,7,8.3,3,3.6,4,4.8,21,25.0,56,66.7,88,100.0
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,Male,All Grades,47,32.0,22,15.0,25,17.0,39,26.5,61,41.5,148,100.0
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,Migrant Education,All Grades,1,12.5,1,12.5,0,0.0,2,25.0,5,62.5,9,100.0
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,Multi-Racial,All Grades,6,42.9,3,21.4,3,21.4,3,21.4,5,35.7,14,93.3
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,Students with Disabilities (SWD),All Grades,2,6.1,1,3.0,1,3.0,8,24.2,23,69.7,33,97.1
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,Total Population (All Students),All Grades,93,33.1,36,12.8,57,20.3,76,27.0,112,39.9,285,99.3
2016-2017,2191,Central SD 13J,3464,Ash Creek Elementary School,Mathematics,White,All Grades,57,47.5,23,19.2,34,28.3,31,25.8,32,26.7,120,100.0
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Econo. Disadvantaged,All Grades,19,13.0,3,2.1,16,11.0,37,25.3,90,61.6,146,96.7
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Female,All Grades,23,22.8,3,3.0,20,19.8,25,24.8,53,52.5,101,97.1
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Hispanic/Latino,All Grades,11,10.4,1,0.9,10,9.4,29,27.4,66,62.3,106,98.1
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,English Learners,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Male,All Grades,26,20.0,10,7.7,16,12.3,38,29.2,66,50.8,130,97.7
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Migrant Education,All Grades,1,11.1,0,0.0,1,11.1,0,0.0,8,88.9,9,100.0
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Multi-Racial,All Grades,4,36.4,1,9.1,3,27.3,2,18.2,5,45.5,11,100.0
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Students with Disabilities (SWD),All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,Total Population (All Students),All Grades,49,21.2,13,5.6,36,15.6,63,27.3,119,51.5,231,97.5
2016-2017,2191,Central SD 13J,1002,Central High School,Mathematics,White,All Grades,31,28.4,10,9.2,21,19.3,30,27.5,48,44.0,109,96.5
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Econo. Disadvantaged,All Grades,31,16.0,10,5.2,21,10.8,44,22.7,119,61.3,198,99.5
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Female,All Grades,19,16.1,6,5.1,13,11.0,23,19.5,76,64.4,120,99.2
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Hispanic/Latino,All Grades,21,14.6,6,4.2,15,10.4,33,22.9,90,62.5,149,100.0
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,English Learners,All Grades,5,5.9,2,2.4,3,3.5,17,20.0,63,74.1,90,100.0
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Male,All Grades,25,21.9,9,7.9,16,14.0,31,27.2,58,50.9,117,100.0
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Migrant Education,All Grades,2,15.4,2,15.4,0,0.0,1,7.7,10,76.9,15,100.0
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Multi-Racial,All Grades,4,44.4,1,11.1,3,33.3,1,11.1,4,44.4,9,100.0
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Students with Disabilities (SWD),All Grades,2,11.1,1,5.6,1,5.6,2,11.1,14,77.8,18,100.0
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,Total Population (All Students),All Grades,44,19.0,15,6.5,29,12.5,54,23.3,134,57.8,237,99.6
2016-2017,2191,Central SD 13J,998,Independence Elementary School,Mathematics,White,All Grades,17,22.7,7,9.3,10,13.3,19,25.3,39,52.0,75,98.7
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Econo. Disadvantaged,All Grades,56,33.1,15,8.9,41,24.3,63,37.3,50,29.6,169,97.1
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Extended Assessment,All Grades,1,14.3,0,0.0,1,14.3,3,42.9,3,42.9,7,100.0
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Female,All Grades,55,44.7,30,24.4,25,20.3,40,32.5,28,22.8,123,97.6
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Hispanic/Latino,All Grades,17,23.0,2,2.7,15,20.3,30,40.5,27,36.5,74,100.0
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,English Learners,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Male,All Grades,65,43.9,25,16.9,40,27.0,42,28.4,41,27.7,148,98.7
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Multi-Racial,All Grades,5,38.5,2,15.4,3,23.1,3,23.1,5,38.5,13,100.0
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Students with Disabilities (SWD),All Grades,3,9.1,3,9.1,0,0.0,10,30.3,20,60.6,33,97.1
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,Total Population (All Students),All Grades,120,44.3,55,20.3,65,24.0,82,30.3,69,25.5,271,98.2
2016-2017,2191,Central SD 13J,999,Monmouth Elementary School,Mathematics,White,All Grades,95,54.6,48,27.6,47,27.0,46,26.4,33,19.0,174,97.8
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Asian,All Grades,6,75.0,4,50.0,2,25.0,2,25.0,0,0.0,9,100.0
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Econo. Disadvantaged,All Grades,90,19.4,30,6.5,60,12.9,124,26.7,250,53.9,470,95.9
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Female,All Grades,106,31.0,40,11.7,66,19.3,94,27.5,142,41.5,345,93.5
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Hispanic/Latino,All Grades,47,15.8,11,3.7,36,12.1,76,25.5,175,58.7,303,98.1
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,American Indian/Alaskan Native,All Grades,5,55.6,2,22.2,3,33.3,1,11.1,3,33.3,9,90.0
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,English Learners,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Male,All Grades,98,26.6,45,12.2,53,14.4,104,28.2,167,45.3,372,95.9
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Migrant Education,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Multi-Racial,All Grades,16,47.1,8,23.5,8,23.5,8,23.5,10,29.4,34,91.9
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Students with Disabilities (SWD),All Grades,5,8.9,3,5.4,2,3.6,8,14.3,43,76.8,56,81.2
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Talented and Gifted (TAG),All Grades,17,89.5,12,63.2,5,26.3,1,5.3,1,5.3,19,95.0
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,Total Population (All Students),All Grades,204,28.7,85,12.0,119,16.7,198,27.8,309,43.5,717,94.7
2016-2017,2191,Central SD 13J,1001,Talmadge Middle School,Mathematics,White,All Grades,129,36.0,60,16.8,69,19.3,110,30.7,119,33.2,358,92.5
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Econo. Disadvantaged,All Grades,20,19.6,7,6.9,13,12.7,29,28.4,53,52.0,102,91.9
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Female,All Grades,25,28.7,6,6.9,19,21.8,32,36.8,30,34.5,87,87.9
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Hispanic/Latino,All Grades,6,30.0,4,20.0,2,10.0,5,25.0,9,45.0,20,95.2
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Male,All Grades,27,30.0,10,11.1,17,18.9,25,27.8,38,42.2,90,93.8
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Multi-Racial,All Grades,6,31.6,0,0.0,6,31.6,8,42.1,5,26.3,19,90.5
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Students with Disabilities (SWD),All Grades,6,22.2,2,7.4,4,14.8,7,25.9,14,51.9,27,73.0
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,Total Population (All Students),All Grades,52,29.4,16,9.0,36,20.3,57,32.2,68,38.4,177,90.8
2016-2017,1945,Clatskanie SD 6J,163,Clatskanie Elementary School,Mathematics,White,All Grades,37,27.4,11,8.1,26,19.3,44,32.6,54,40.0,135,90.6
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Econo. Disadvantaged,All Grades,8,11.3,1,1.4,7,9.9,17,23.9,46,64.8,71,87.7
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Female,All Grades,19,23.8,5,6.3,14,17.5,17,21.3,44,55.0,80,90.9
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Hispanic/Latino,All Grades,1,12.5,0,0.0,1,12.5,2,25.0,5,62.5,8,100.0
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Indian Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Male,All Grades,17,21.3,6,7.5,11,13.8,24,30.0,39,48.8,80,95.2
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Multi-Racial,All Grades,1,6.3,0,0.0,1,6.3,6,37.5,9,56.3,16,100.0
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,SWD with Accommodations,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Students with Disabilities (SWD),All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,Total Population (All Students),All Grades,36,22.5,11,6.9,25,15.6,41,25.6,83,51.9,160,93.0
2016-2017,1945,Clatskanie SD 6J,168,Clatskanie Middle/High School,Mathematics,White,All Grades,34,26.0,11,8.4,23,17.6,30,22.9,67,51.1,131,91.6
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Econo. Disadvantaged,All Grades,18,30.5,7,11.9,11,18.6,19,32.2,22,37.3,59,100.0
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Female,All Grades,19,27.5,7,10.1,12,17.4,31,44.9,19,27.5,69,100.0
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Hispanic/Latino,All Grades,2,25.0,0,0.0,2,25.0,3,37.5,3,37.5,8,100.0
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Male,All Grades,23,37.1,6,9.7,17,27.4,19,30.6,20,32.3,62,96.9
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Multi-Racial,All Grades,2,33.3,0,0.0,2,33.3,2,33.3,2,33.3,6,100.0
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Students with Disabilities (SWD),All Grades,2,8.7,0,0.0,2,8.7,10,43.5,11,47.8,23,100.0
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Talented and Gifted (TAG),All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,Total Population (All Students),All Grades,42,32.1,13,9.9,29,22.1,50,38.2,39,29.8,131,98.5
2016-2017,1927,Colton SD 53,103,Colton Elementary School,Mathematics,White,All Grades,37,31.9,13,11.2,24,20.7,45,38.8,34,29.3,116,98.3
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Econo. Disadvantaged,All Grades,2,12.5,1,6.3,1,6.3,8,50.0,6,37.5,16,100.0
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Female,All Grades,4,17.4,1,4.3,3,13.0,9,39.1,10,43.5,23,100.0
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Hispanic/Latino,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Male,All Grades,3,11.1,2,7.4,1,3.7,12,44.4,12,44.4,27,100.0
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Students with Disabilities (SWD),All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,Total Population (All Students),All Grades,7,14.0,3,6.0,4,8.0,21,42.0,22,44.0,50,100.0
2016-2017,1927,Colton SD 53,104,Colton High School,Mathematics,White,All Grades,6,14.0,3,7.0,3,7.0,18,41.9,19,44.2,43,100.0
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Econo. Disadvantaged,All Grades,13,22.4,7,12.1,6,10.3,19,32.8,26,44.8,58,98.3
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Female,All Grades,25,36.2,9,13.0,16,23.2,29,42.0,15,21.7,69,97.2
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Hispanic/Latino,All Grades,1,9.1,1,9.1,0,0.0,4,36.4,6,54.5,12,100.0
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Male,All Grades,25,32.9,11,14.5,14,18.4,20,26.3,31,40.8,77,98.7
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Multi-Racial,All Grades,4,40.0,1,10.0,3,30.0,3,30.0,3,30.0,10,100.0
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,SWD with Accommodations,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Students with Disabilities (SWD),All Grades,3,11.1,0,0.0,3,11.1,3,11.1,21,77.8,27,100.0
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,Total Population (All Students),All Grades,50,34.5,20,13.8,30,20.7,49,33.8,46,31.7,146,98.0
2016-2017,1927,Colton SD 53,1248,Colton Middle School,Mathematics,White,All Grades,45,36.6,18,14.6,27,22.0,42,34.1,36,29.3,123,97.6
2016-2017,2006,Condon SD 25J,325,Condon Elementary School,Mathematics,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
