school,city,county,district,esd,governance,ods.participation,ods.grades,ods.camp,ods.days,ods.nights,ods.academic.component,ods.total.students,curriculum.outside.provider,curriculum.school.district.staff,curriculum.volunteers,staffing.provider.staff,staffing.hs.mentors,staffing.parents.volunteers,staffing.community.experts,staffing.other,ela.numeric,math.numeric,science.numeric,frl,pct.white,lon,lat,ods.camp_1,ods.camp_2,ods.camp_3,ods.camp_4,ods.camp_5
Cesar E Chavez Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Canyonview Camp,2,1,,101,,,,,,,,,0.387,0.305,0.38,0.8442000000000001,0.23800000000000002,-122.9611694,44.9592431,Canyonview Camp,,,,
Chapman Hill Elementary School,Salem,Polk,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Camp Greider,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",90,Yes,No,No,No,No,Yes,No,No,0.594,0.5529999999999999,0.77,0.371,0.69,-123.0770067,44.955946,Camp Greider,,,,
Charlemagne French Immersion Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,Yes,5,Canoe Island French Camp,5,4,,45,,,,,,,,,0.867,0.7929999999999999,0.95,0.1303,0.7120000000000001,-123.075082,44.012898,Canoe Island French Camp,,,,
Chenowith Elementary School,The Dalles,Wasco,North Wasco County SD 21,Columbia Gorge ESD,Public,No,"",,,,,,,,,,,,,,0.39299999999999996,0.35,0.75,0.8852,0.42200000000000004,-121.2210661,45.6259505,,,,,
Childpeace Montessori Community School,Portland,Multnomah,Private,Private,Private,Yes,"6, 7, 8, 9, 10, 11, 12",Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",28,Yes,No,No,Yes,No,Yes,No,No,,,,,,-122.6870037,45.5355021,Hancock Field Station,,,,
Childs Way Charter School,Culp Creek,Lane,South Lane SD 45J3,Lane ESD,Public,No,"",,,,,,,,,,,,,,,,,,0.8909999999999999,-122.844428,43.699071000000004,,,,,
Christ Lutheran School,Coos Bay,Coos,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-124.2294974,43.3813376,,,,,
Christ the King School,Milwaukie,Clackamas,Private,Private,Private,Yes,6,Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",30,,,,,,,,,,,,,,-122.5871063,45.4384877,Camp Westwind,,,,
City Christian Schools,Portland,Multnomah,Private,Private,Private,Yes,6,Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",27,Yes,No,No,Yes,No,Yes,No,No,,,,,,-122.5666067,45.5505871,Hancock Field Station,,,,
City View Charter School,Hillsboro,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",48,,,,,,,,,0.44,0.316,0.594,0.1094,0.7190000000000001,-122.9396028,45.5115106,Camp Westwind,,,,
Clackamas Web Academy,Milwaukie,Clackamas,North Clackamas SD 12,Clackamas ESD,Public,No,"",,,,,,,,,,,,,,0.6509999999999999,0.36700000000000005,0.55,,0.8290000000000001,-122.5729229,45.4295522,,,,,
Claggett Creek Middle School,Keizer,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.504,0.366,0.608,0.7411,0.475,-123.0113839,44.9846858,,,,,
Clara Brownell Middle School,Umatilla,Umatilla,Umatilla SD 6R,InterMountain ESD,Public,No,"",,,,,,,,,,,,,,0.23199999999999998,0.095,0.42700000000000005,0.8328,0.293,-119.3373093,45.917429,,,,,
Clarkes Elementary School,Mulino,Clackamas,Molalla River SD 35,Clackamas ESD,Public,Yes,5,Jawbone Flats,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",24,No,No,No,Yes,No,No,No,No,0.6,0.635,0.7859999999999999,0.3851,0.907,-122.474111,45.214689,Jawbone Flats,,,,
Class Academy,Portland,Multnomah,Private,Private,Private,Yes,"5, 6, 7, 8","Trackers,Camp Trackers",3,2,No,,Yes,No,No,Yes,No,No,No,No,,,,,,-122.7075447,45.5365172,Trackers,Camp Trackers,,,
Clatskanie Elementary School,Clatskanie,Columbia,Clatskanie SD 6J,Northwest Regional ESD,Public,Yes,6,Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",50,Yes,No,No,No,Yes,No,No,No,0.52,0.294,0.872,0.6141,0.802,-123.20576,46.09975,Hancock Field Station,,,,
Clear Creek Middle School,Gresham,Multnomah,Gresham-Barlow SD 10J,Multnomah ESD,Public,Yes,6,"Camp Angelos,Camp Arrah Wanna,Camp Howard,Camp Namanu",3,2,"Yes, and it CONNECTS TO STATE STANDARDS",184,Yes,No,No,Yes,No,No,No,No,0.414,0.259,0.53,0.7008,0.456,-122.4378336,45.5241208,Camp Angelos,Camp Arrah Wanna,Camp Howard,Camp Namanu,
Clear Lake Elementary School,Eugene,Lane,Bethel SD 52,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.465,0.38799999999999996,0.718,0.6245,0.725,-123.1762615,44.0831973,,,,,
Clear Lake Elementary School,Keizer,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Camp Cascade Conference and Retreat Center,3,2,,96,,,,,,,,,0.652,0.619,0.889,0.3823,0.711,-123.0189958,45.0266184,Camp Cascade Conference and Retreat Center,,,,
Cobb School,Roseburg,Douglas,Private,Private,Private,Yes,"3, 4, 5, 6, 7",Coastal Discovery Center at Camp Gray,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",25,Yes,No,No,No,No,Yes,No,No,,,,,,-123.3505699,43.2251424,Coastal Discovery Center at Camp Gray,,,,
Coburg Community Charter School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.705,0.691,0.909,,0.882,-123.0726776,44.1427794,,,,,
Coffenberry Middle School,Myrtle Creek,Douglas,South Umpqua SD 19,Douglas ESD,Public,No,"",,,,,,,,,,,,,,0.349,0.19399999999999998,0.529,0.6186,0.8109999999999999,-123.283705,43.029037,,,,,
Colin Kelly Middle School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.37799999999999995,0.344,0.478,0.5579999999999999,0.602,-123.1425559,44.0873285,,,,,
Colonel Wright Elementary School,The Dalles,Wasco,North Wasco County SD 21,Columbia Gorge ESD,Public,No,"",,,,,,,,,,,,,,0.503,0.317,0.6609999999999999,0.7674,0.532,-121.198448,45.5978179,,,,,
Colton Elementary School,Colton,Clackamas,Colton SD 53,Clackamas ESD,Public,No,"",,,,,,,,,,,,,,0.41200000000000003,0.321,0.895,0.461,0.89,-122.414357,45.16523,,,,,
Columbia Academy,West Linn,Clackamas,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-122.6400309,45.3864385,,,,,
Columbia Christian Schools,Portland,Multnomah,Private,Private,Private,Yes,6,Camp Yamhill,4,3,,22,,,,,,,,,,,,,,-122.5707273,45.5254488,Camp Yamhill,,,,
Columbia County Christian School,Saint Helens,Columbia,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-122.8158185,45.8590111,,,,,
Columbus Elementary School,McMinnville,Yamhill,McMinnville SD 40,Willamette ESD,Public,Yes,6,Twin Rocks Friends Conference,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",20,Yes,No,No,,,,,,0.49200000000000005,0.504,0.792,0.6418,0.565,-123.2174221,45.2004506,Twin Rocks Friends Conference,,,,
Conestoga Middle School,Beaverton,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,Yes,6,Camp Magruder,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",300,Yes,No,No,Yes,Yes,No,No,No,0.6709999999999999,0.507,,0.3403,0.573,-122.8026698,45.4467453,Camp Magruder,,,,
Coquille Valley Elementary School,Coquille,Coos,Coquille SD 8,South Coast ESD,Public,Yes,5,Camp Myrtlewood,2,1,,42,,,,,,,,,0.5329999999999999,0.474,0.47700000000000004,0.5903,0.7120000000000001,-124.1871124,43.1847036,Camp Myrtlewood,,,,
Corbett Middle School,Corbett,Multnomah,Corbett SD 39,Multnomah ESD,Public,Yes,6,"Camp Arrah Wanna,Camp Namanu",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",65,,,,Yes,No,No,No,No,0.537,0.39399999999999996,0.667,0.26489999999999997,,-122.2956859,45.5298519,Camp Arrah Wanna,Camp Namanu,,,
Corridor Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,Yes,6,Grove Christian Camp,3,2,,160,,,,,,,,,0.41700000000000004,0.368,0.804,0.7582,0.807,-123.1365944,44.0943805,Grove Christian Camp,,,,
Corvallis Waldorf School,Corvallis,Benton,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-123.2225462,44.598052,,,,,
Countryside Christian School,Veneta,Lane,Private,Private,Private,Yes,6,,5,4,,1,,,,,,,,,,,,,,-123.329318,44.057616,,,,,
Crane Elementary School,Crane,Harney,Harney County SD 4,Harney ESD,Public,No,"",,,,,,,,,,,,,,0.5710000000000001,0.721,0.5710000000000001,0.49329999999999996,0.96,-118.57540470000001,43.4166868,,,,,
Creative Science School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,Camp Arrah Wanna,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",60,Yes,No,No,Yes,No,No,No,No,0.6970000000000001,0.491,0.768,0.3232,0.73,-122.5700291,45.5135127,Camp Arrah Wanna,,,,
Creston Elementary School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,Canby Grove,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",34,Yes,No,No,Yes,No,No,No,No,0.606,0.47200000000000003,0.672,0.5324,0.555,-122.6137951,45.495449,Canby Grove,,,,
Creswell Middle School,Creswell,Lane,Creswell SD 40,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.508,0.39,0.557,0.5138,0.7929999999999999,-123.0265855,43.9166326,,,,,
Crook County Middle School,Prineville,Crook,Crook County SD,High Desert ESD,Public,Yes,6,Suttle Lake Camp,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",200,Yes,Yes,No,No,Yes,No,No,No,0.5539999999999999,0.34600000000000003,0.636,0.585,0.7190000000000001,-120.8342232,44.301157,Suttle Lake Camp,,,,
Crosshill Christian School,Turner,Marion,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-123.0063749,44.8405652,,,,,
Crossler Middle School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.695,0.489,0.743,0.45280000000000004,0.726,-123.063606,44.8745867,,,,,
CS Lewis Academy,Newberg,Yamhill,Private,Private,Private,Yes,"6, 7",Royal Ridges Retreat,6,5,"Yes, and it CONNECTS TO STATE STANDARDS",65,Yes,Yes,No,Yes,No,No,No,No,,,,,,-122.9731565,45.3001178,Royal Ridges Retreat,,,,
Culver Middle School,Culver,Jefferson,Culver SD 4,Jefferson ESD,Public,Yes,6,Camp Tamarack,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",50,Yes,No,No,Yes,Yes,No,No,No,0.623,0.409,0.735,0.6687000000000001,0.687,-121.2116398,44.5224447,Camp Tamarack,,,,
Cummings Elementary School,Keizer,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Canyonview Camp,2,1,,67,,,,,,,,,0.37200000000000005,0.335,0.534,0.6168,0.6920000000000001,-123.0341438,44.9899419,Canyonview Camp,,,,
Da Vinci Middle School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Angelos,Camp Howard,Camp Arrah Wanna,Camp Namanu",6,5,"Yes, and it CONNECTS TO STATE STANDARDS",149,Yes,No,No,Yes,No,No,No,No,0.752,0.515,0.932,0.24780000000000002,0.735,-122.6401528,45.5245854,Camp Angelos,Camp Howard,Camp Arrah Wanna,Camp Namanu,
Dallas Community School,Dallas,Polk,Dallas SD 2,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.345,0.188,0.75,,0.917,-123.3272253,44.9154831,,,,,
Damascus Christian School,Damascus,Clackamas,Private,Private,Private,Yes,6,Tumalo State Park,3,2,,16,No,Yes,No,,,,,,,,,,,-122.449588,45.419004,Tumalo State Park,,,,
Danebo Elementary School,Eugene,Lane,Bethel SD 52,Lane ESD,Public,Yes,5,Canby Grove,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",45,No,Yes,No,No,Yes,Yes,Yes,No,0.319,0.239,0.375,0.7558,0.525,-123.1789974,44.0769365,Canby Grove,,,,
Dayton Grade School,Dayton,Yamhill,Dayton SD 8,Willamette ESD,Public,Yes,"",Cedar Ridge,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",64,,,,,,,,,0.373,0.42100000000000004,0.597,0.6706,0.562,-123.084516,45.2162894,Cedar Ridge,,,,
Dayville School,Dayville,Grant,Dayville SD 16J,Grant ESD,Public,Yes,"6, 7, 8",Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",21,Yes,No,No,Yes,No,Yes,No,No,0.364,0.318,,,0.9570000000000001,-119.5369767,44.467371,Hancock Field Station,,,,
Deep Creek K-8 School,Damascus,Multnomah,Gresham-Barlow SD 10J,Multnomah ESD,Public,Yes,6,"Camp Howard,Camp Angelos,Camp Arrah Wanna,anna",3,2,"Yes, and it CONNECTS TO STATE STANDARDS",60,Yes,No,No,Yes,Yes,No,No,No,0.563,0.531,0.8240000000000001,0.2788,0.85,-122.4144552,45.4205982,Camp Howard,Camp Angelos,Camp Arrah Wanna,anna,
Desert View Elementary School,Hermiston,Umatilla,Hermiston SD 8,InterMountain ESD,Public,Yes,5,Camp Meadowood Springs,3,2,,150,,,,,,,,,0.62,0.664,0.9440000000000001,0.598,0.504,-119.3046801,45.8303978,Camp Meadowood Springs,,,,
Dexter McCarty Middle School,Gresham,Multnomah,Gresham-Barlow SD 10J,Multnomah ESD,Public,Yes,6,"Camp Angelos,Camp Howard,Camp Namanu",3,2,"Yes, and it CONNECTS TO STATE STANDARDS",187,Yes,Yes,No,Yes,Yes,No,No,No,0.528,0.32,0.65,0.675,0.503,-122.4177322,45.4932254,Camp Angelos,Camp Howard,Camp Namanu,,
Dorena School,Dorena,Lane,South Lane SD 45J3,Lane ESD,Public,Yes,5,Grove Christian Camp,3,2,,11,,,,,,,,,0.267,0.222,0.636,0.7631999999999999,0.7759999999999999,-122.879974,43.738606,Grove Christian Camp,,,,
Drewsey Elementary School,Drewsey,Harney,Drewsey SD 13,Harney ESD,Public,No,"",,,,,,,,,,,,,,,,,,0.889,-118.3782138,43.805442,,,,,
Driftwood Elementary School,Port Orford,Curry,Port Orford-Langlois SD 2CJ,South Coast ESD,Public,No,"",,,,,,,,,,,,,,0.489,0.37799999999999995,0.633,,0.8540000000000001,-124.496622,42.7484625,,,,,
Dufur School,Dufur,Wasco,Dufur SD 29,Columbia Gorge ESD,Public,No,"",,,,,,,,,,,,,,0.6629999999999999,0.527,0.8640000000000001,0.5992999999999999,0.8009999999999999,-121.1242725,45.454948,,,,,
Dundee Elementary School,Dundee,Yamhill,Newberg SD 29J,Willamette ESD,Public,Yes,5,Twin Rocks Friends Conference,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",60,Yes,No,No,,,,,,0.565,0.523,0.732,0.3721,0.831,-123.0100079,45.2802487,Twin Rocks Friends Conference,,,,
Duniway Middle School,McMinnville,Yamhill,McMinnville SD 40,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.594,0.499,0.6579999999999999,0.5253,0.634,-123.2094463,45.2119328,,,,,
Eagle Charter School,Salem,Marion,Oregon Department of Education,Oregon Department of Education,Public,No,"",,,,,,,,,,,,,,0.4,0.3,0.579,0.4892,0.77,-123.0219593,44.965496,,,,,
Eagle Point Middle School,Eagle Point,Jackson,Eagle Point SD 9,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.507,0.35700000000000004,0.7190000000000001,0.47609999999999997,0.8009999999999999,-122.7933588,42.4839127,,,,,
Eagle Rock Elementary School,Eagle Point,Jackson,Eagle Point SD 9,Southern Oregon ESD,Public,No,"",,,,,,,,,,,,,,0.392,0.35200000000000004,0.708,0.48350000000000004,0.85,-122.799679,42.484012,,,,,
East Elementary School,Tillamook,Tillamook,Tillamook SD 9,Northwest Regional ESD,Public,Yes,6,Twin Rocks Friends Conference,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",174,No,No,No,No,Yes,Yes,No,No,0.408,0.319,0.526,0.6047,0.6609999999999999,-123.820823,45.45449,Twin Rocks Friends Conference,,,,
East Linn Christian Academy,Lebanon,Linn,Private,Private,Private,Yes,6,Longbow Organizational Campground,3,2,"Yes, but it DOES NOT CONNECT TO STATE STANDARDS",22,Yes,Yes,No,No,No,Yes,No,No,,,,,,-122.923037,44.503524,Longbow Organizational Campground,,,,
Eastmont Community School,Bend,Deschutes,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-121.2539609,44.066284,,,,,
Eastwood Elementary School,Hillsboro,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Camp Magruder,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",66,,,,,,,,,0.32799999999999996,0.193,0.342,0.7395999999999999,0.315,-122.9598469,45.5236844,Camp Magruder,,,,
Eastwood Elementary School,Roseburg,Douglas,Douglas County SD 4,Douglas ESD,Public,No,"",,,,,,,,,,,,,,0.387,0.262,0.486,0.7159,0.8,-123.321292,43.209713,,,,,
Eccles Elementary School,Canby,Clackamas,Canby SD 86,Clackamas ESD,Public,Yes,6,Camp Magruder,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",84,,,,,,,,,0.631,0.6409999999999999,0.746,0.31379999999999997,0.727,-122.7022537,45.2645878,Camp Magruder,,,,
Echo School,Echo,Umatilla,Echo SD 5,InterMountain ESD,Public,Yes,6,Tupper Workstation,5,4,"Yes, and it CONNECTS TO STATE STANDARDS",26,Yes,Yes,No,No,Yes,No,Yes,No,0.518,0.313,0.486,0.6,0.7929999999999999,-119.1896092,45.7399725,Tupper Workstation,,,,
Echo Shaw Elementary School,Cornelius,Washington,Forest Grove SD 15,Northwest Regional ESD,Public,No,"",,,,,,,,,,,,,,0.39299999999999996,0.402,0.36200000000000004,0.8482999999999999,0.064,-123.0621136,45.5122142,,,,,
Eddyville Charter School,Eddyville,Lincoln,Lincoln County SD,Linn Benton Lincoln ESD,Public,Yes,5,Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",18,Yes,No,No,Yes,No,Yes,No,No,0.5,0.22899999999999998,0.743,0.5121,0.778,-123.7782132,44.633966,Hancock Field Station,,,,
Edgewood Community Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,Yes,5,Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",72,Yes,No,No,No,Yes,No,No,No,0.5770000000000001,0.488,0.792,0.2857,0.7809999999999999,-123.0848729,44.0053241,Camp Westwind,,,,
Edison Elementary School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.748,0.6920000000000001,0.816,0.36579999999999996,0.742,-123.0726392,44.0356168,,,,,
Edwards Elementary School,Newberg,Yamhill,Newberg SD 29J,Willamette ESD,Public,Yes,5,Coastal Discovery Center at Camp Gray,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",50,Yes,No,No,Yes,No,Yes,No,No,0.522,0.45799999999999996,0.654,0.6795,0.541,-122.9695757,45.2938313,Coastal Discovery Center at Camp Gray,,,,
Elizabeth Page Elementary School,Springfield,Lane,Springfield SD 19,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.369,0.276,0.569,0.7245999999999999,0.645,-123.0063084,44.0690642,,,,,
Elk Meadow Elementary School,Bend,Deschutes,Bend-La Pine Admin SD 1,High Desert ESD,Public,Yes,5,Camp Tamarack,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",90,Yes,No,No,Yes,No,No,No,No,0.606,0.544,0.6920000000000001,0.4882,0.799,-121.345295,44.014288,Camp Tamarack,,,,
Elkton Charter School,Elkton,Douglas,Elkton SD 34,Douglas ESD,Public,Yes,"",Hancock Field Station,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",20,Yes,No,No,,,,,,0.58,0.43799999999999994,0.726,0.624,0.853,-123.5702076,43.6380775,Hancock Field Station,,,,
Elmira Elementary School,Elmira,Lane,Fern Ridge SD 28J,Lane ESD,Public,Yes,5,Kiwanis Sky Camp,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",50,No,Yes,No,No,Yes,No,No,No,0.433,0.341,0.607,0.564,0.872,-123.354843,44.072242,Kiwanis Sky Camp,,,,
Elmonica Elementary School,Beaverton,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,No,"",,,,,,,,,,,,,,0.517,0.525,0.625,0.45289999999999997,0.261,-122.8515124,45.5156768,,,,,
Emerson School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,5,Jawbone Flats,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",19,,,,Yes,No,No,No,No,0.696,0.638,0.895,,0.486,-122.6794187,45.5239432,Jawbone Flats,,,,
Englewood Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.434,0.418,0.585,0.7139,0.613,-123.0112254,44.9456944,,,,,
Ensworth Elementary School,Bend,Deschutes,Bend-La Pine Admin SD 1,High Desert ESD,Public,Yes,5,Camp Tamarack,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",43,Yes,No,No,Yes,No,No,No,No,0.573,0.369,0.545,0.7168000000000001,0.77,-121.2754611,44.0720841,Camp Tamarack,,,,
Eola Hills Charter School,Amity,Yamhill,Amity SD 4J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.23800000000000002,0.095,0.313,,0.638,-123.3198586,45.0648959,,,,,
Estacada Middle School,Estacada,Clackamas,Estacada SD 108,Clackamas ESD,Public,Yes,"",Camp Magruder,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",131,,,,,,,,,0.39299999999999996,0.25,0.385,0.5382,0.807,-122.3331292,45.2934064,Camp Magruder,,,,
Eugene Christian School,Eugene,Lane,Private,Private,Private,Yes,"1, 2, 3, 4, 5, 6, 7, 8",Grove Christian Camp,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",32,Yes,Yes,No,No,No,Yes,Yes,No,,,,,,-123.0613435,44.09056,Grove Christian Camp,,,,
Eugene Waldorf School,Eugene,Lane,Private,Private,Private,No,"",,,,,,,,,,,,,,,,,,,-123.113915,44.0246219,,,,,
Evergreen Elementary School,Silverton,Marion,Silver Falls SD 4J,Willamette ESD,Public,No,"",,,,,,,,,,,,,,0.852,0.852,0.9470000000000001,,0.9640000000000001,-122.810532,44.980068,,,,,
Eyre Elementary School,Salem,Marion,Salem-Keizer SD 24J,Willamette ESD,Public,Yes,5,Canyonview Camp,2,1,,80,,,,,,,,,0.292,0.22399999999999998,0.33,0.8018000000000001,0.249,-122.961173,44.918195,Canyonview Camp,,,,
Fairfield Elementary School,Eugene,Lane,Bethel SD 52,Lane ESD,Public,No,"",,,,,,,,,,,,,,0.4,0.302,0.485,0.8681,0.635,-123.15055,44.07087,,,,,
Faith Bible Christian School,Aloha,Washington,Private,Private,Private,Yes,5,Camp Yamhill,4,3,,23,,,,,,,,,,,,,,-122.850319,45.4895721,Camp Yamhill,,,,
Faith Christian School,Dallas,Polk,Private,Private,Private,Yes,5,Camp Yamhill,4,3,,20,,,,,,,,,,,,,,-123.2743651,44.9290892,Camp Yamhill,,,,
Falls City Elementary School,Falls City,Polk,Falls City SD 57,Willamette ESD,Public,Yes,6,Camp Magruder,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",8,Yes,No,No,Yes,No,No,No,No,0.222,0.125,0.345,0.7043,0.878,-123.4319179,44.8676678,Camp Magruder,,,,
Family School,Eugene,Lane,Eugene SD 4J,Lane ESD,Public,Yes,"1, 2, 3, 4, 5",Grove Christian Camp,3,2,,50,,,,,,,,,0.541,0.377,0.6,0.5224,0.7609999999999999,-123.111331,44.016318,Grove Christian Camp,,,,
Farmington View Elementary School,Hillsboro,Washington,Hillsboro SD 1J,Northwest Regional ESD,Public,Yes,6,Camp Magruder,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",39,,,,,,,,,0.706,0.55,0.821,0.32689999999999997,0.6859999999999999,-122.991595,45.4599405,Camp Magruder,,,,
Faubion Elementary School,Portland,Multnomah,Portland SD 1J,Multnomah ESD,Public,Yes,6,"Camp Angelos,Camp Arrah Wanna",5,4,"Yes, and it CONNECTS TO STATE STANDARDS",45,Yes,No,No,Yes,No,No,No,No,0.36700000000000005,0.191,0.629,0.7733,0.28,-122.669284,45.5392378,Camp Angelos,Camp Arrah Wanna,,,
Faulconer-Chapman School,Sheridan,Yamhill,Sheridan SD 48J,Willamette ESD,Public,Yes,6,Camp Howard,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",53,Yes,No,No,Yes,No,No,No,No,0.248,0.298,0.40700000000000003,0.7639,0.6970000000000001,-123.401357,45.0920108,Camp Howard,,,,
Ferguson Elementary School,Klamath Falls,Klamath,Klamath County SD,Southern Oregon ESD,Public,Yes,6,Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",52,Yes,No,No,Yes,Yes,No,No,No,0.556,0.564,0.648,0.6293,0.723,-121.7227414,42.2000852,Camp Westwind,,,,
Fields Elementary School,Fields,Harney,South Harney SD 33,Harney ESD,Public,No,"",,,,,,,,,,,,,,,,,,0.667,-118.6705577,42.2629807,,,,,
Findley Elementary School,Portland,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,Yes,5,Cedar Ridge,3,2,"Yes, and it CONNECTS TO STATE STANDARDS",165,,,,,,,,,0.907,0.902,0.9359999999999999,,0.319,-122.812033,45.549864,Cedar Ridge,,,,
Fir Grove Elementary School,Roseburg,Douglas,Douglas County SD 4,Douglas ESD,Public,No,"",,,,,,,,,,,,,,0.506,0.392,0.66,0.7987000000000001,0.687,-123.3652221,43.215513,,,,,
Firwood Elementary School,Sandy,Clackamas,Oregon Trail SD 46,Clackamas ESD,Public,No,"",,,,,,,,,,,,,,0.591,0.547,0.753,0.4301,0.795,-122.2228504,45.3748486,,,,,
Five Oaks Middle School,Beaverton,Washington,Beaverton SD 48J,Northwest Regional ESD,Public,No,"",,,,,,,,,,,,,,0.47100000000000003,0.385,,0.6286,0.40700000000000003,-122.8535628,45.5301623,,,,,
Fleming Middle School,Grants Pass,Josephine,Three Rivers/Josephine County SD,Southern Oregon ESD,Public,Yes,6,Siskiyou Field Institute,3,2,"Yes, but it DOES NOT CONNECT TO STATE STANDARDS",,Yes,No,No,Yes,Yes,Yes,No,No,0.5660000000000001,0.377,0.5489999999999999,0.6107,0.8270000000000001,-123.374032,42.5065759,Siskiyou Field Institute,,,,
Floyd Light Middle School,Portland,Multnomah,David Douglas SD 40,Multnomah ESD,Public,Yes,6,"Camp Angelos,Camp Howard,Camp Namanu",3,2,"Yes, and it CONNECTS TO STATE STANDARDS",280,Yes,No,No,Yes,No,No,No,No,0.449,0.359,0.447,0.7512000000000001,0.405,-122.5517928,45.5171731,Camp Angelos,Camp Howard,Camp Namanu,,
Forest Grove Community School,Forest Grove,Washington,Forest Grove SD 15,Northwest Regional ESD,Public,Yes,"5, 6",Camp Magruder,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",54,Yes,No,No,Yes,Yes,No,No,No,0.6459999999999999,0.618,0.784,0.2736,0.682,-123.1132755,45.5194248,Camp Magruder,,,,
Forest Hills Lutheran School,Cornelius,Washington,Private,Private,Private,Yes,6,Camp Westwind,4,3,"Yes, and it CONNECTS TO STATE STANDARDS",26,,,,,,,,,,,,,,-123.0509392,45.4900271,Camp Westwind,,,,
