School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction)
Childpeace Montessori Community School – Portland,Childpeace Montessori Community School,,,,1516 NW Thurman St,Portland,OR,97209,Multnomah,503-222-1197,PK,8,Other,Private,Regular School,,,,None listed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Childrens Farm Home – Corvallis,Childrens Farm Home,,Linn Benton Lincoln ESD,,4455 NE Hwy 20,Corvallis,OR,97330,Benton,541-757-5965,PK,12,Other,Public,LTCT,42,Principal,Judy McCormick,judy_mccormick@lblesd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,64,45,20,44.4%,25,55.6%,2,4.4%,,0%,1,2.2%,1,2.2%,7,15.6%,29,64.4%,5,11.1%,,1,,,,,3,1,5,7,7,9,12,false,
Childs Way Charter School – Culp Creek,Childs Way Charter School,South Lane SD 45J3,Lane ESD,,37895 Row River Rd,Culp Creek,OR,97434,Lane,541-946-1821,5,12,Other,Public,Charter School,4395,Principal,Michael Kerns,mike.kerns@slane.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,44,46,23,50%,23,50%,2,4.3%,,0%,,0%,,0%,2,4.3%,41,89.1%,1,2.2%,,,,,,2,3,7,4,8,9,5,8,false,
Chiloquin Elementary School – Chiloquin,Chiloquin Elementary School,Klamath County SD,Southern Oregon ESD,,548 2nd Ave,Chiloquin,OR,97624,Klamath,541-783-2338,K,6,Elementary,Public,Regular School,468,Principal,Travis Fast,fastt@kcsd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,137,163,79,48.5%,84,51.5%,64,39.3%,3,1.8%,,0%,1,0.6%,9,5.5%,64,39.3%,22,13.5%,30,22,19,21,29,15,27,,,,,,,false,
Christ Lutheran School – Coos Bay,Christ Lutheran School,,,,1835 N 15th,Coos Bay,OR,97420,Coos,541-267-3851,PK,6,Elementary,Private,Regular School,,,,None listed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Christ the King School – Milwaukie,Christ the King School,,,,7414 SE Michael Dr.,Milwaukie,OR,97222,Clackamas,(503) 887-3656,K,12,Other,Private,Regular School,,,,,,,Yes,30,6th grade,Camp Westwind,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Christa McAuliffe Academy – Lake Oswego,Christa McAuliffe Academy,,,,5200 SW Meadows Rd #150,Lake Oswego,OR,97035,Clackamas,503-226-7374 x4,K,12,Other,Private,Regular School,,,,info@cmasas.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
City Christian Schools – Portland,City Christian Schools,,,,9200 NE Fremont St,Portland,OR,97220,Multnomah,503-252-5207,PK,12,Other,Private,Regular School,,,,kroyston@citychristianschools.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
City View Charter School – Hillsboro,City View Charter School,Hillsboro SD 1J,Northwest Regional ESD,,4174 SE Bentley St,Hillsboro,OR,97123,Washington,503-844-9424,K,8,Other,Public,Charter,4206,Principal,Jeffrey Hays,jhays@cityviewcharter.org,,,Yes,48,6th grade,Camp Westwind,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,195,192,101,52.6%,91,47.4%,3,1.6%,5,2.6%,,0%,4,2.1%,31,16.1%,138,71.9%,11,5.7%,23,24,24,24,24,24,24,15,10,,,,,true,
Clackamas River Elementary School – Estacada,Clackamas River Elementary School,Estacada SD 108,Clackamas ESD,,301 NE 2nd Ave,Estacada,OR,97023,Clackamas,503-630-8552 x2100,K,5,Elementary,Public,Regular School,131,Principal,Amy Hudson,Hudsona@estacada.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,429,432,218,50.5%,214,49.5%,,0%,2,0.5%,,0%,2,0.5%,44,10.2%,355,82.2%,29,6.7%,60,63,84,65,60,100,,,,,,,,false,
Clackamas Web Academy – Milwaukie,Clackamas Web Academy,North Clackamas SD 12,Clackamas ESD,,8740 SE Sunnybrook Blvd,Milwaukie,OR,97015,Clackamas,503-659-4664,1,12,Other,Public,Charter School,4223,Principal,Brad Linn,linnb@nclack.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,425,463,221,47.7%,242,52.3%,2,0.4%,9,1.9%,2,0.4%,8,1.7%,36,7.8%,384,82.9%,22,4.8%,,11,6,19,8,16,20,39,44,47,76,103,74,false,
Claggett Creek Middle School – Keizer,Claggett Creek Middle School,Salem-Keizer SD 24J,Willamette ESD,,1810 Alder Dr NE,Keizer,OR,97303,Marion,503-399-3701,6,8,Middle,Public,Regular School,3373,Principal,Rob Schoepper,schoepper_rob@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,925,950,496,52.2%,454,47.8%,8,0.8%,9,0.9%,23,2.4%,7,0.7%,406,42.7%,451,47.5%,46,4.8%,,,,,,,324,313,313,,,,,false,
Clara Brownell Middle School – Umatilla,Clara Brownell Middle School,Umatilla SD 6R,InterMountain ESD,,1300 7th St,Umatilla,OR,97882,Umatilla,541-922-6625,6,8,Middle,Public,Regular School,1031,Principal,Liz Durant,durantl@umatillasd.org,,,No,,,,,,,,,,,,No,,,,SOMEWHAT interested,2018/2019 school year,A BIT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,290,287,156,54.4%,131,45.6%,2,0.7%,,0%,,0%,1,0.3%,199,69.3%,84,29.3%,1,0.3%,,,,,,,101,85,101,,,,,false,
Clarkes Elementary School – Mulino,Clarkes Elementary School,Molalla River SD 35,Clackamas ESD,,19100 S Windy City Rd,Mulino,OR,97042,Clackamas,503-632-3290,K,5,Elementary,Public,Regular School,93,Principal,Kathleen French,kathleen.french@molallariv.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,162,161,94,58.4%,67,41.6%,1,0.6%,,0%,,0%,,0%,6,3.7%,146,90.7%,8,5%,21,23,30,26,30,31,,,,,,,,false,
Class Academy – Portland,Class Academy,,,,2730 NW Vaughn St,Portland,OR,97210,Multnomah,503-223-9099,PK,8,Other,Private,Regular School,,,,info@classacademy.com,,,Yes,,"5th grade, 6th grade, 7th grade, 8th grade",Trackers,3,2,Trackers,No,Program providers develop curriculum,Program provider staff,We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,10,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Clatskanie Elementary School – Clatskanie,Clatskanie Elementary School,Clatskanie SD 6J,Northwest Regional ESD,,815 S NEhalem St,Clatskanie,OR,97016,Columbia,503-728-2191,K,6,Elementary,Public,Regular School,163,Principal,Brad Thorud,bthorud@csd.k12.or.us,,,Yes,50,6th grade,Hancock Field Station,3,2,OMSI,No,,"High school mentors, School Nurse, Admin",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,14,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,327,368,187,50.8%,181,49.2%,4,1.1%,,0%,,0%,1,0.3%,33,9%,295,80.2%,35,9.5%,53,59,55,58,39,51,53,,,,,,,true,
Clear Creek Middle School – Gresham,Clear Creek Middle School,Gresham-Barlow SD 10J,Multnomah ESD,,219 NE 219th,Gresham,OR,97030,Multnomah,503-492-6700,6,8,Middle,Public,Regular School,1312,Principal,David Atherton,Atherton@gresham.k12.or.us,,,Yes,184,,"Camp Angelos, Camp Arrah Wanna, Camp Howard, Camp Namanu",3,2,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,,,,,,,,,,,,,,651,655,345,52.7%,310,47.3%,6,0.9%,24,3.7%,9,1.4%,31,4.7%,251,38.3%,299,45.6%,35,5.3%,,,,,,,226,197,232,,,,,true,
Clear Lake Elementary School – Eugene,Clear Lake Elementary School,Bethel SD 52,Lane ESD,,4646 Barger Ave,Eugene,OR,97402,Lane,541-689-0511,K,5,Elementary,Public,Regular School,582,Principal,John Luhman,john.luhman@bethel.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,275,269,160,59.5%,109,40.5%,7,2.6%,3,1.1%,,0%,9,3.3%,44,16.4%,195,72.5%,11,4.1%,45,43,45,44,51,41,,,,,,,,false,
Clear Lake Elementary School – Keizer,Clear Lake Elementary School,Salem-Keizer SD 24J,Willamette ESD,,7425 Meadowglen N,Keizer,OR,97303,Marion,503-399-3138,K,5,Elementary,Public,Regular School,734,Principal,Tara Baldridge,baldridge_tara@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,437,429,220,51.3%,209,48.7%,,0%,9,2.1%,3,0.7%,3,0.7%,82,19.1%,305,71.1%,27,6.3%,66,54,54,77,79,99,,,,,,,,false,
Cloverdale Elementary School – Turner,Cloverdale Elementary School,Cascade SD 5,Willamette ESD,Cascade Junior High School – Turner,9666 Parrish Gap Rd SE,Turner,OR,97392,Marion,503-749-8050,K,5,Elementary,Public,Regular School,806,Principal,Christy Wilkins,cwilkins@cascade.k12.or.us,"Don't do ODS, but middle school does",,No (sister school did),,,,,,,,,,,,,,,,,,,,,,162,160,87,54.4%,73,45.6%,3,1.9%,2,1.3%,1,0.6%,,0%,19,11.9%,135,84.4%,,0%,23,21,37,28,26,25,,,,,,,,false,
Cobb School – Roseburg,Cobb School,,,,1281 NE Walnut St,Roseburg,OR,97470,Douglas,541-957-9357,PK,8,Other,Private,Regular School,,,,communications@cobbk12.org,,,Yes,25,"4th grade, 5th grade, 6th grade, 7th grade, 8th grade, 3rd",Coastal Discovery Center at Camp Gray,4,3,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Parent volunteers,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,23,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,Extremely positive for both the kids and the teachers.  They love that someone else is organizing it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Coburg Community Charter School – Eugene,Coburg Community Charter School,Eugene SD 4J,Lane ESD,,91274 N Coburg Rd,Eugene,OR,97401,Lane,541-790-3408,K,8,Other,Public,Regular School,507,Principal,Will Lewis,w.lewis@coburgcharter.org,,,,,,,,,,,,,,,,,,,,,,,,,221,221,112,50.7%,109,49.3%,,0%,9,4.1%,1,0.5%,1,0.5%,6,2.7%,195,88.2%,9,4.1%,25,25,25,25,25,26,25,22,23,,,,,false,
Coffenberry Middle School – Myrtle Creek,Coffenberry Middle School,South Umpqua SD 19,Douglas ESD,Myrtle Creek Elementary School – Myrtle Creek,591 NE Rice,Myrtle Creek,OR,97457,Douglas,541-863-3104,6,8,Middle,Public,Regular School,291,Principal,Douglas Park,douglas.park@susd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,263,291,145,49.8%,146,50.2%,5,1.7%,2,0.7%,,0%,,0%,25,8.6%,236,81.1%,23,7.9%,,,,,,,99,103,89,,,,,false,Myrtle Creek Elementary School – Myrtle Creek
Colin Kelly Middle School – Eugene,Colin Kelly Middle School,Eugene SD 4J,Lane ESD,,850 Howard Ave,Eugene,OR,97404,Lane,,6,8,Middle,Public,Regular School,518,Principal,,cuadros_j@4j.lane.edu,,,,,,,,,,,,,,,,,,,,,,,,,399,405,213,52.6%,192,47.4%,4,1%,4,1%,2,0.5%,3,0.7%,113,27.9%,244,60.2%,35,8.6%,,,,,,,129,148,128,,,,,false,
Colonel Wright Elementary School – The Dalles,Colonel Wright Elementary School,North Wasco County SD 21,Columbia Gorge ESD,,610 W 14th St,The Dalles,OR,97058,Wasco,541-506-3360,K,5,Elementary,Public,Regular School,1097,Principal,Sharon Bonderud,bonderuds@nwasco.k12.or.us,,,No,,,,,,,,,,,,Yes,2014-2015 school year,Camp Hancock,Cost,I'm not sure,Not sure at this point,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,We have used Outdoor School as a district in the past for a TAG program activity.  It is always well-received.  We did it for about 5 years.  We stopped last  year as a cost-cutting item.  It would be great to bring it back.,,333,331,159,48%,172,52%,7,2.1%,3,0.9%,5,1.5%,1,0.3%,124,37.5%,176,53.2%,15,4.5%,49,48,69,73,36,56,,,,,,,,false,
Colton Elementary School – Colton,Colton Elementary School,Colton SD 53,Clackamas ESD,,30439 S Grays Hill Rd,Colton,OR,97017,Clackamas,503-824-3536,K,5,Elementary,Public,Regular School,103,Principal,Susan Inman,inmans@colton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,258,282,147,52.1%,135,47.9%,,0%,2,0.7%,2,0.7%,,0%,18,6.4%,251,89%,9,3.2%,39,51,47,50,55,40,,,,,,,,false,
Colton Middle School – Colton,Colton Middle School,Colton SD 53,Clackamas ESD,,21580 S Schieffer Rd,Colton,OR,97017,Clackamas,503-824-2319,6,8,Middle,Public,Regular School,1248,Principal,Susan Inman,inmans@colton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,131,145,76,52.4%,69,47.6%,1,0.7%,,0%,,0%,,0%,11,7.6%,123,84.8%,10,6.9%,,,,,,,43,51,51,,,,,false,
Columbia Academy – West Linn,Columbia Academy,,,,19200 Willamette Dr,West Linn,OR,97068,Clackamas,503-699-1012,PK,6,Elementary,Private,Regular School,,,,info@gocolumbiaacademy.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Columbia Christian Schools – Portland,Columbia Christian Schools,,,,413 NE 91St Ave,Portland,OR,97220,Multnomah,503-252-8577,PK,12,Other,Private,Regular School,,,,ccs@columbiachristian.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Columbia County Christian School – Saint Helens,Columbia County Christian School,,,,PO Box 448,Saint Helens,OR,97051,Columbia,503-366-9209,K,8,Other,Private,Regular School,,,,bwinegar@ccchristianschool.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Columbus Elementary School – McMinnville,Columbus Elementary School,McMinnville SD 40,Willamette ESD,,1600 SW Fellows St,McMinnville,OR,97128,Yamhill,503-565-4600,K,5,Elementary,Public,Regular School,1228,Principal,Kathi Fowler,kfowler@msd.k12.or.us,,,Yes,,,Twin Rocks Friends Conference,,,,,,,,,,,,,,,,,,,517,483,240,49.7%,243,50.3%,6,1.2%,3,0.6%,1,0.2%,7,1.4%,184,38.1%,273,56.5%,9,1.9%,76,68,78,91,90,80,,,,,,,,false,
Community Transitional School – Portland,Community Transitional School,,,,6601 NE Killingsworth St,Portland,OR,97218,Multnomah,503-249-8582,PK,8,Other,Private,Regular School,,,,ctschool@comcast.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Condon Elementary School – Condon,Condon Elementary School,Condon SD 25J,North Central ESD,,220 S East St,Condon,OR,97823,Gilliam,541-384-2581,K,8,Elementary,Public,Regular School,325,Principal,Michelle Geer,mgeer@condon.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,88,90,43,47.8%,47,52.2%,1,1.1%,,0%,,0%,,0%,7,7.8%,80,88.9%,2,2.2%,9,16,9,9,11,9,4,12,11,,,,,false,
Conestoga Middle School – Beaverton,Conestoga Middle School,Beaverton SD 48J,Northwest Regional ESD,,12250 SW Conestoga Dr,Beaverton,OR,97008,Washington,503-356-2580,6,8,Middle,Public,Regular School,1319,Principal,Zan Hess,zan_hess@beaverton.k12.or.us,,,Yes,300,6th grade,Camp Magruder,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,5,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"We absolutely love it.  The experiences our kids get can't be simulated in the classroom.  That is why we write grants, fund raise, beg and borrow to be able to get our kids the experience.  Teachers at our school spend countless unpaid hours planning and organizing.  It would be great to have the State's help and funding.",,873,908,470,51.8%,438,48.2%,4,0.4%,94,10.4%,8,0.9%,23,2.5%,180,19.8%,520,57.3%,79,8.7%,,,,,,,345,287,276,,,,,true,
Cooper Mountain Elementary School – Beaverton,Cooper Mountain Elementary School,Beaverton SD 48J,Northwest Regional ESD,,7670 SW 170th Ave,Beaverton,OR,97007,Washington,503-356-2070,K,5,Elementary,Public,Regular School,1160,Principal,Kristin LeMon,kristin_lemon@beaverton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,505,530,289,54.5%,241,45.5%,3,0.6%,58,10.9%,4,0.8%,11,2.1%,55,10.4%,337,63.6%,62,11.7%,83,78,83,95,100,91,,,,,,,,false,
Coquille Valley Elementary School – Coquille,Coquille Valley Elementary School,Coquille SD 8,South Coast ESD,,1115 N Baxter St,Coquille,OR,97423,Coos,541-396-2914,1,6,Elementary,Public,Regular School,4025,Principal,Geoff Wetherell,gwetherell@coquille.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,358,393,209,53.2%,184,46.8%,7,1.8%,1,0.3%,2,0.5%,,0%,50,12.7%,280,71.2%,53,13.5%,,70,59,70,65,62,67,,,,,,,false,
Cor Deo Christian Academy – Beaverton,Cor Deo Christian Academy,,,,9100 SW 135Th Ave,Beaverton,OR,97008,Washington,503-524-1866,K,12,Other,Private,Regular School,,,,info@cordeoacademy.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Corbett Middle School – Corbett,Corbett Middle School,Corbett SD 39,,,35800 E Historic Columbia Rvr,Corbett,OR,97019,Multnomah,,6,8,Middle,Public,Regular School,4592,,,"No email, contact through link",,,Yes,65,6th grade,"Camp Arrah Wanna, Camp Namanu",6,5,Multnomah County ESD,No,,,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Corbett School – Corbett,Corbett School,Corbett SD 39,Multnomah ESD,,35800 E Hist Columbia River Hwy,Corbett,OR,97019,Multnomah,503-261-4200,K,12,Other,Public,Regular School,4592,Principal,Lori Luna,lluna@corbett.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,1239,1238,609,49.2%,629,50.8%,13,1.1%,32,2.6%,8,0.6%,13,1.1%,74,6%,1037,83.8%,61,4.9%,80,92,78,91,104,88,87,95,93,121,110,111,88,false,
Corridor Elementary School – Eugene,Corridor Elementary School,Eugene SD 4J,Lane ESD,,250 Silver Ln,Eugene,OR,97404,Lane,541-790-4600,K,5,Elementary,Public,Alternative School,1242,Principal,,piowaty_t@4j.lane.edu,,,,,,,,,,,,,,,,,,,,,,,,,260,244,115,47.1%,129,52.9%,,0%,,0%,1,0.4%,1,0.4%,22,9%,197,80.7%,23,9.4%,28,39,41,44,43,49,,,,,,,,false,
Corvallis Waldorf School – Corvallis,Corvallis Waldorf School,,,,3855 NE Highway 20,Corvallis,OR,97330,Benton,541-758-4674,K,8,Other,Private,Regular School,,,,info@ccak12.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Countryside Christian School – Veneta,Countryside Christian School,,,,88401 Huston Rd,Veneta,OR,97487,Lane,541-935-6446,1,8,Other,Private,Regular School,,,,"No email, contact through link",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Cove Charter School – Cove,Cove Charter School,Cove SD 15,InterMountain ESD,,803 Main St,Cove,OR,97824,Union,541-568-4424,K,12,Other,Public,Regular School,3434,Principal,Mat Miles,mat.miles@covesd.org,,,,,,,,,,,,,,,,,,,,,,,,,249,272,129,47.4%,143,52.6%,3,1.1%,1,0.4%,,0%,1,0.4%,9,3.3%,250,91.9%,8,2.9%,17,18,21,21,19,20,21,24,25,26,27,15,18,false,
Covenant Christian Academy – The Dalles,Covenant Christian Academy,,,,2630 E 18Th St,The Dalles,OR,97058,Wasco,541-296-2952,PK,12,Other,Private,Regular School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Crane Elementary School – Crane,Crane Elementary School,Harney County SD 4,Harney ESD,,43277 Crane-Venator Ln,Crane,OR,97732,Harney,541-493-2641,K,8,Other,Public,Regular School,346,Principal,Matthew Hawley,hawleym@harneyesd.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,55,75,34,45.3%,41,54.7%,,0%,,0%,,0%,,0%,2,2.7%,72,96%,1,1.3%,7,6,12,10,8,2,15,9,6,,,,,false,
Crater Lake Charter Academy – Eagle Point,Crater Lake Charter Academy,Eagle Point SD 9,Southern Oregon ESD,,129 S Platt St,Eagle Point,OR,97524,Jackson,541-830-6602,K,12,Other,Public,Charter School,5251,Director,Bryan Wood,bry.w0612@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,244,260,124,47.7%,136,52.3%,6,2.3%,1,0.4%,3,1.2%,1,0.4%,29,11.2%,216,83.1%,4,1.5%,12,10,7,18,21,15,25,19,26,21,32,29,25,false,
Creative Science School – Portland,Creative Science School,Portland SD 1J,Multnomah ESD,,1231 SE 92nd Ave,Portland,OR,97216,Multnomah,503-916-6431,K,8,Other,Public,Regular School,4640,Principal,Kristie Lindholm,klindholm@pps.net,,,Yes,60,6th grade,Camp Arrah Wanna,6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,10,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,Huge benefit for students - so glad it's fully funded again,,476,492,247,50.2%,245,49.8%,2,0.4%,53,10.8%,3,0.6%,12,2.4%,26,5.3%,359,73%,37,7.5%,47,51,50,55,57,60,57,59,56,,,,,true,
Creslane Elementary School – Creswell,Creslane Elementary School,Creswell SD 40,Lane ESD,,996 W  A  Ave,Creswell,OR,97426,Lane,541-895-6140,K,5,Elementary,Public,Regular School,570,Principal,Ryan Beck,rbeck@creswell.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,615,594,310,52.2%,284,47.8%,14,2.4%,3,0.5%,2,0.3%,1,0.2%,69,11.6%,466,78.5%,39,6.6%,82,104,107,98,91,112,,,,,,,,false,
Creston Elementary School – Portland,Creston Elementary School,Portland SD 1J,Multnomah ESD,,4701 SE Bush St,Portland,OR,97206,Multnomah,503-916-6340,K,8,Elementary,Public,Regular School,843,Principal,Finius Hurdle,fhurdle@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,398,355,203,57.2%,152,42.8%,,0%,36,10.1%,6,1.7%,14,3.9%,75,21.1%,197,55.5%,27,7.6%,39,53,44,41,28,46,39,31,34,,,,,false,
Crestview Heights School – Waldport,Crestview Heights School,Lincoln County SD,Linn Benton Lincoln ESD,,3000 Crestline Dr,Waldport,OR,97394,Lincoln,541-563-3237,K,6,Elementary,Public,Regular School,623,Principal,Kelly Schloer-Beaudry,kelly.beaudry@lincoln.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,418,332,183,55.1%,149,44.9%,4,1.2%,1,0.3%,,0%,1,0.3%,23,6.9%,283,85.2%,20,6%,37,56,42,60,50,46,41,,,,,,,false,
Creswell Middle School – Creswell,Creswell Middle School,Creswell SD 40,Lane ESD,,655 W Oregon Ave,Creswell,OR,97426,Lane,541-895-6090,6,8,Middle,Public,Regular School,571,Principal,Shirley Burrus,sburrus@lane.k12.or.us,,,No,,,,,,,,,,,,Yes,2000-201,Camp Lutherwood,Money and school funding,NOT AT ALL interested,,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,Outdoor School is great.  We just don't have the interest in it at this time. Maybe in the next few years.,,302,290,136,46.9%,154,53.1%,7,2.4%,4,1.4%,1,0.3%,1,0.3%,28,9.7%,230,79.3%,19,6.6%,,,,,,,92,100,98,,,,,false,
Crook County Christian School – Prineville,Crook County Christian School,,,,839 S Main St,Prineville,OR,97754,Crook,541-416-0114,PK,8,Other,Private,Regular School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Crook County Middle School – Prineville,Crook County Middle School,Crook County SD,High Desert ESD,,100 NE Knowledge St,Prineville,OR,97754,Crook,541-447-6283,6,8,Middle,Public,Regular School,224,Principal,Kurt Sloper,kurt.sloper@crookcounty.k12.or.us,,,Yes,200,6th grade,Suttle Lake Camp,5,4,Self,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,High school mentors,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,59,,,,,,,VERY FAMILIAR with Measure 99,VERY FAMILIAR with the role OSU Extension plays,,,620,588,301,51.2%,287,48.8%,5,0.9%,3,0.5%,1,0.2%,5,0.9%,101,17.2%,423,71.9%,50,8.5%,,,,,,,166,225,197,,,,,true,
