"","school","participation","district","esd","governance","ods.fifth.grade","ods.sixth.grade","number.of.students","camp.attended","days","nights","academic.component","accommodations","lon","lat"
"144","Dayton Grade School","Yes","Dayton SD 8","Willamette ESD","Public",0,0,NA,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.084516,45.2162894
"145","Dayville School","Yes","Dayville SD 16J","Grant ESD","Public",0,1,10,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-119.5369767,44.467371
"146","Deep Creek K-8 School","Yes","Gresham-Barlow SD 10J","Multnomah ESD","Public",0,1,60,"Camp Howard, Camp Angelos, Camp Arrah Wanna, anna","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4144552,45.4205982
"147","Desert View Elementary School","Yes","Hermiston SD 8","InterMountain ESD","Public",1,0,150,"Camp Meadowood Springs","3","2",NA,NA,-119.3046801,45.8303978
"148","Dexter McCarty Middle School","Yes","Gresham-Barlow SD 10J","Multnomah ESD","Public",0,1,187,"Camp Angelos, Camp Howard, Camp Namanu","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4177322,45.4932254
"149","Dorena School","Yes","South Lane SD 45J3","Lane ESD","Public",1,0,11,"Grove Christian Camp","3","2",NA,NA,-122.879974,43.738606
"150","Drewsey Elementary School","No","Drewsey SD 13","Harney ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-118.3782138,43.805442
"151","Driftwood Elementary School","No","Port Orford-Langlois SD 2CJ","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.496622,42.7484625
"152","Dufur School","No","Dufur SD 29","Columbia Gorge ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.1242725,45.454948
"153","Dundee Elementary School","Yes","Newberg SD 29J","Willamette ESD","Public",1,0,60,"Twin Rocks Friends Conference","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0100079,45.2802487
"154","Duniway Middle School","No","McMinnville SD 40","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.2094463,45.2119328
"155","Eagle Charter School","No","Oregon Department of Education","Oregon Department of Education","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0219593,44.965496
"156","Eagle Point Middle School","No","Eagle Point SD 9","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.7933588,42.4839127
"157","Eagle Rock Elementary School","No","Eagle Point SD 9","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.799679,42.484012
"158","East Elementary School","Yes","Tillamook SD 9","Northwest Regional ESD","Public",0,1,174,"Twin Rocks Friends Conference","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.820823,45.45449
"159","East Linn Christian Academy","Yes","None",NA,"Private",0,1,22,"Longbow Organizational Campground","3","2","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.923037,44.503524
"160","Eastmont Community School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-121.2539609,44.066284
"161","Eastwood Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,66,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9598469,45.5236844
"162","Eastwood Elementary School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.321292,43.209713
"163","Eccles Elementary School","Yes","Canby SD 86","Clackamas ESD","Public",0,1,84,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7022537,45.2645878
"164","Echo School","Yes","Echo SD 5","InterMountain ESD","Public",0,1,26,"Tupper Workstation","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-119.1896092,45.7399725
"165","Echo Shaw Elementary School","No","Forest Grove SD 15","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0621136,45.5122142
"166","Eddyville Charter School","Yes","Lincoln County SD","Linn Benton Lincoln ESD","Public",1,0,18,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.7782132,44.633966
"167","Edgewood Community Elementary School","Yes","Eugene SD 4J","Lane ESD","Public",1,0,72,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.0848729,44.0053241
"168","Edwards Elementary School","Yes","Newberg SD 29J","Willamette ESD","Public",1,0,50,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9695757,45.2938313
"169","Elizabeth Page Elementary School","No","Springfield SD 19","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0063084,44.0690642
"170","Elk Meadow Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,90,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.345295,44.014288
"171","Elkton Charter School","Yes","Elkton SD 34","Douglas ESD","Public",0,0,NA,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.5702076,43.6380775
"172","Elmira Elementary School","Yes","Fern Ridge SD 28J","Lane ESD","Public",1,0,50,"Kiwanis Sky Camp","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.354843,44.072242
"173","Elmonica Elementary School","No","Beaverton SD 48J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8515124,45.5156768
"174","Emerson School","Yes","Portland SD 1J","Multnomah ESD","Public",1,0,19,"Jawbone Flats","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6794187,45.5239432
"175","Englewood Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0112254,44.9456944
"176","Ensworth Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,43,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.2754611,44.0720841
"177","Eola Hills Charter School","No","Amity SD 4J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.3198586,45.0648959
"178","Estacada Middle School","Yes","Estacada SD 108","Clackamas ESD","Public",0,0,NA,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.3331292,45.2934064
"179","Eugene Christian School","Yes","None",NA,"Private",0,1,11,"Grove Christian Camp","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.0613435,44.09056
"180","Eugene Waldorf School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.113915,44.0246219
"181","Evergreen Elementary School","No","Silver Falls SD 4J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.810532,44.980068
"182","Eyre Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,80,"Canyonview Camp","2","1",NA,NA,-122.961173,44.918195
"183","Fairfield Elementary School","No","Bethel SD 52","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.15055,44.07087
"184","Faith Bible Christian School","Yes","None",NA,"Private",1,0,23,"Camp Yamhill","4","3",NA,NA,-122.850319,45.4895721
"185","Faith Christian School","Yes","None",NA,"Private",1,0,20,"Camp Yamhill","4","3",NA,NA,-123.2743651,44.9290892
"186","Falls City Elementary School","Yes","Falls City SD 57","Willamette ESD","Public",0,1,8,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.4319179,44.8676678
"187","Family School","Yes","Eugene SD 4J","Lane ESD","Public",1,1,12,"Grove Christian Camp","3","2",NA,NA,-123.111331,44.016318
"188","Farmington View Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,39,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.991595,45.4599405
"189","Faubion Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,45,"Camp Angelos, Camp Arrah Wanna","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.669284,45.5392378
"190","Faulconer-Chapman School","Yes","Sheridan SD 48J","Willamette ESD","Public",0,1,53,"Camp Howard","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.401357,45.0920108
"191","Ferguson Elementary School","Yes","Klamath County SD","Southern Oregon ESD","Public",0,1,52,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-121.7227414,42.2000852
"192","Fields Elementary School","No","South Harney SD 33","Harney ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-118.6705577,42.2629807
"193","Findley Elementary School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",1,0,165,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.812033,45.549864
"194","Fir Grove Elementary School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.3652221,43.215513
"195","Firwood Elementary School","No","Oregon Trail SD 46","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.2228504,45.3748486
"196","Five Oaks Middle School","No","Beaverton SD 48J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8535628,45.5301623
"197","Fleming Middle School","Yes","Three Rivers/Josephine County SD","Southern Oregon ESD","Public",0,1,NA,"Siskiyou Field Institute","3","2","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.374032,42.5065759
"198","Floyd Light Middle School","Yes","David Douglas SD 40","Multnomah ESD","Public",0,1,280,"Camp Angelos, Camp Howard, Camp Namanu","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5517928,45.5171731
"199","Forest Grove Community School","Yes","Forest Grove SD 15","Northwest Regional ESD","Public",1,1,54,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.1132755,45.5194248
"200","Forest Hills Lutheran School","Yes","None",NA,"Private",0,1,26,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0509392,45.4900271
"201","Fossil Charter School","No","Fossil SD 21J","North Central ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-120.2135482,45.0021699
"202","Foster Elementary School","Yes","Sweet Home SD 55","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.670886,44.410506
"203","Four Corners Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,7,"Camp Angelos","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9759501,44.9228676
"204","Four Rivers Community School","No","Oregon Department of Education","Oregon Department of Education","Public",0,0,NA,NA,NA,NA,NA,NA,-116.99877,44.025605
"205","Fowler Middle School","Yes","Tigard-Tualatin SD 23J","Northwest Regional ESD","Public",0,1,126,"Cedar Ridge, Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.788546,45.432256
"206","Franciscan Montessori Earth School","Yes","None",NA,"Private",1,1,8,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.5113069,45.5018909
"207","Free Orchards Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,74,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0415047,45.5175621
"208","Freewater Elementary School","Yes","Milton-Freewater Unified SD 7","InterMountain ESD","Public",1,0,NA,"Harris Park","1","0",NA,NA,-118.3986877,45.943399
"209","Fremont/Hay Elementary School","No","Lake County SD 7","Lake ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-120.350097,42.1834479
"210","French American International School","Yes","None",NA,"Private",0,1,71,"Hancock Field Station","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7636134,45.5289294
"211","French Prairie Middle School","No","Woodburn SD 103","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8600416,45.1507205
"212","Frenchglen Elementary School","No","Frenchglen SD 16","Harney ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-118.9144652,42.826405
"213","Frontier Education of Oregon (Sterling Education)","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.586321,45.4345049
"214","Fruitdale Elementary School","No","Three Rivers/Josephine County SD","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.3116443,42.4204493
"215","Fullerton IV Elementary School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.381142,43.217632
"216","Gaarde Christian School","Yes","None",NA,"Private",0,1,10,NA,"4","3",NA,NA,-122.7932537,45.4191966
"217","Gardiner Middle School","Yes","Oregon City SD 62","Clackamas ESD","Public",0,1,260,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6012313,45.3396323
"218","Gaston Elementary School","Yes","Gaston SD 511J","Northwest Regional ESD","Public",0,0,NA,"Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.1419557,45.4358384
"219","Gearhart Elementary School","Yes","Seaside SD 10","Northwest Regional ESD","Public",1,0,56,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.914234,46.024388
"220","George Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,128,"Camp Angelos, Camp Arrah Wanna, Canby Grove, Camp Howard, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7364261,45.5960948
"221","German American School Of Portland","Yes","None",NA,"Private",1,0,22,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8253611,45.4916484
"222","Gilchrist Elementary School","No","Klamath County SD","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.684348,43.478044
"223","Glendale Elementary School","No","Glendale SD 77","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.424593,42.735438
"224","Glide Elementary School","Yes","Glide SD 12","Douglas ESD","Public",0,1,43,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0875696,43.3081644
"225","Gordon Russell Middle School","Yes","Gresham-Barlow SD 10J","Multnomah ESD","Public",0,1,242,"Camp Angelos","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.39634,45.492651
"226","Grande Ronde Academy","Yes","None",NA,"Private",1,0,11,"Blue Mountain Conservancy","2","0","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-118.1021349,45.3332234
"227","Grandhaven Elementary School","Yes","McMinnville SD 40","Willamette ESD","Public",1,0,112,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.1873759,45.2323334
"228","Grant Community School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,70,"Canyonview Camp","2","1",NA,NA,-123.0270341,44.9505919
"229","Grants Pass Seventh-Day Adventist School","Yes","None",NA,"Private",1,1,12,"Big Lake Youth Camp","4","3",NA,NA,-123.331217,42.466301
"230","Gray Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,165,"Camp Namanu, Camp Angelos","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7014007,45.4825599
"231","Green Elementary School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.383213,43.14929
"232","Griffin Creek Elementary School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.907616,42.293626
"233","Groner K-8","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,27,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9203755,45.4187042
"234","Gubser Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0121669,45.0151801
"235","Guy Lee Elementary School","No","Springfield SD 19","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0387942,44.0698484
"236","Haines Elementary School","Yes","Baker SD 5J","InterMountain ESD","Public",0,1,22,"Elkhorn Wildlife Management Area","4","0","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-117.933962,44.913803
"237","Hallman Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,52,"Canyonview Camp","3","2",NA,NA,-122.9959388,44.977862
"238","Hamilton Creek School","Yes","Lebanon Community SD 9","Linn Benton Lincoln ESD","Public",0,1,30,"Camp Tadmor","5","4","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.8360565,44.5137822
"239","Hamlin Middle School","No","Springfield SD 19","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.021456,44.0569735
"240","Hanby Middle School","Yes","Central Point SD 6","Southern Oregon ESD","Public",0,1,45,"White Oaks Farm","2","1","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-123.0551162,42.4345005
"241","Happy Valley Middle School","Yes","North Clackamas SD 12","Clackamas ESD","Public",0,1,351,"Cedar Ridge, Trickle Creek, Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,NA,NA
"242","Harbor Lights Middle School","No","Bandon SD 54","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.4194621,43.1152945
"243","Harmony Montessori School","Yes","None",NA,"Private",1,0,8,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.54,45.52
"244","Harrisburg Elementary School","No","Harrisburg SD 7J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1646717,44.2712455
"245","Harrisburg Middle School","No","Harrisburg SD 7J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1661227,44.2722042
"246","Harrison Elementary School","Yes","South Lane SD 45J3","Lane ESD","Public",1,0,75,"Camp Tadmor","4","3","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.0585172,43.790417
"247","Harrison Park School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,44,"Camp Angelos, Canby Grove, Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5749076,45.5070371
"248","Harritt Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,77,"Canyonview Camp","2","1",NA,NA,-123.0632918,44.9644302
"249","Hauton B Lee Middle School","Yes","Reynolds SD 7","Multnomah ESD","Public",0,1,240,"Camp Howard, Camp Namanu","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4877994,45.531697
"250","Hawthorne Elementary School","Yes","Sweet Home SD 55","Linn Benton Lincoln ESD","Public",0,1,60,"Camp Tadmor","2","0","Yes",NA,-122.7064131,44.3974783
"251","Hayesville Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.971762,44.984329
"252","Hazelbrook Middle School","Yes","Tigard-Tualatin SD 23J","Northwest Regional ESD","Public",0,1,295,"Trickle Creek, Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7919484,45.3929507
"253","Health and Science School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,0,NA,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8693489,45.5270349
"254","Hedrick Middle School","Yes","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,"Mountain Lakes Bible Camp","2","1",NA,NA,-122.8537156,42.331753
"255","Helix School","Yes","Helix SD 1","InterMountain ESD","Public",0,1,15,"Camp Meadowood Springs","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-118.6537564,45.8507337
"256","Helman Elementary School","No","Ashland SD 5","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.7132256,42.2091584
"257","Henley Elementary School","Yes","Klamath County SD","Southern Oregon ESD","Public",0,1,73,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-121.6982852,42.1435504
"258","Henry L Slater Elementary School","No","Harney County SD 3","Harney ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-119.0616027,43.5925792
"259","Heppner Elementary School","Yes","Morrow SD 1","InterMountain ESD","Public",0,1,30,"Tupper Workstation","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-119.5505222,45.3576354
"260","Heritage Elementary School","No","Woodburn SD 103","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.871413,45.133731
"261","Hermiston Christian Center & School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-119.3237822,45.8340407
"262","Hermiston Junior Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-119.3126056,45.853674
"263","High Lakes Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,118,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.3527505,44.0616787
"264","Highland Hills Elementary School","Yes","Hermiston SD 8","InterMountain ESD","Public",1,0,150,"Camp Meadowood Springs","3","2",NA,NA,-119.2694629,45.8375193
"265","Highland Park Middle School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",0,1,300,"Trickle Creek, Cedar Ridge","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8183965,45.4692195
"266","Highland School at Kenwood Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",0,0,0,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-121.3228681,44.0619324
"267","Hillcrest Elementary School","No","North Bend SD 13","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.2287048,43.4029392
"268","Hillsboro Online Academy","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,30,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.984701,45.527486
"269","Hillside Elementary School","No","Eagle Point SD 9","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.7972842,42.4704108
"270","Hines Middle School","Yes","Harney County SD 3","Harney ESD","Public",1,0,18,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-119.0871457,43.5632583
"271","Holley Elementary School","Yes","Sweet Home SD 55","Linn Benton Lincoln ESD","Public",0,1,19,"Camp Tadmor","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.7834392,44.3586815
"272","Holy Cross Catholic School","Yes","None",NA,"Private",0,0,NA,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7223827,45.5804612
"273","Holy Family Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.8802032,44.991459
"274","Holy Redeemer Catholic School","Yes","None",NA,"Private",0,1,23,"Camp Arrah Wanna","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.668216,45.5704775
"275","Holy Trinity School","Yes","None",NA,"Private",0,1,28,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.818003,45.5069166
"276","Hood River Middle School","Yes","Hood River County SD","Columbia Gorge ESD","Public",0,1,185,"Hancock Field Station","2","1","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.5285453,45.704376
"277","Hood View Junior Academy","Yes","None",NA,"Private",0,1,15,"Rosario Marine Station","5","4",NA,NA,-122.3734641,45.4313662
"278","Hoover Elementary School","Yes","Corvallis SD 509J","Linn Benton Lincoln ESD","Public",1,0,80,"Coastal Discovery Center at Camp Gray","3","2","No","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.2925814,44.592501
"279","Hoover Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.9956453,44.9448766
"280","Hope Chinese Charter School","No","Beaverton SD 48J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.7838532,45.4946938
"281","Horizon Christian Elementary School & Middle School","Yes","None",NA,"Private",0,1,32,"Twin Rocks Friends Conference","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7639851,45.3840077
"282","Horizon Christian School","Yes","None",NA,"Private",0,1,12,"Camp Yamhill","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-121.517233,45.698171
"283","Hosford Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,182,"Camp Angelos, Camp Arrah Wanna, Camp Howard, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6375416,45.5063195
"284","Houck Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.9718186,44.9146782
"285","Howard Elementary School","No","Eugene SD 4J","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1394248,44.0874083
"286","Howard Elementary School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8912248,42.3575746
"287","Hucrest Elementary School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.3811694,43.2309553
"288","Hudson Park Elementary School","Yes","Rainier SD 13","Northwest Regional ESD","Public",0,0,NA,"Cispus Learning Center","5","4",NA,NA,-122.9874098,46.0949209
