School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction),lon,lat,MS,Good interview candidate
Buckingham Elementary School – Bend,Buckingham Elementary School,Bend-La Pine Admin SD 1,High Desert ESD,Pilot Butte Middle School – Bend,62560 Hamby Rd,Bend,OR,97701,Deschutes,,K,5,Elementary,Public,Regular School,250,Principal,,sunshine.dandurand@bend.k12.or.us,,,Yes,93,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,Pilot Butte Middle School – Bend,-121.241825,44.071793,Pilot Butte Middle School,
Buckman Elementary School – Portland,Buckman Elementary School,Portland SD 1J,Multnomah ESD,Hosford Middle School – Portland,320 SE 16th Ave,Portland,OR,97214,Multnomah,503-916-6230,K,5,Elementary,Public,Regular School,837,Principal,Susan Kosmala,skosmala@pps.net,,,Yes,68,5th grade,Coastal Discovery Center at Camp Gray,3,2,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",OMSI,,,,,,,,,,,,,,481,458,221,48.3%,237,51.7%,1,0.2%,15,3.3%,,0%,19,4.1%,55,12%,315,68.8%,53,11.6%,66,85,71,82,81,73,,,,,,,,false,Hosford Middle School – Portland,-122.6489338,45.5204053,Hosford Middle School,
Buena Vista Elementary School – Eugene,Buena Vista Elementary School,Eugene SD 4J,Lane ESD,James Monroe Middle School – Eugene,1500 Queens Way,Eugene,OR,97401,Lane,541-790-6500,K,5,Elementary,Public,Regular School,1241,Principal,Melissa Ibarra,ibarra_m@4j.lane.edu,,,No,,,,,,,,,,,,,,,,,,,,,,425,431,207,48%,224,52%,3,0.7%,5,1.2%,,0%,7,1.6%,141,32.7%,244,56.6%,31,7.2%,76,76,77,70,80,52,,,,,,,,false,James Monroe Middle School – Eugene,-123.076188,44.0791472,Monroe Middle School,
Buff Intermediate School – Madros,Buff Intermediate School,Jefferson County SD 509J,Jefferson ESD,Jefferson County Middle School – Madras,375 SE Buff St,Madros,OR,97741,Jefferson,,K,5,Elementary,Public,Regular School,429,Principal,,bwhite@509j.net,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,371,330,179,54.2%,151,45.8%,34,10.3%,4,1.2%,,,,,,,,,,,,,,,,,,,,,,,,false,Jefferson County Middle School – Madras,-121.1216883,44.6281778,Jefferson County Middle School,
Burns Alternative School – Burns,Burns Alternative School,Harney County SD 3,Harney ESD,,550 N Court Ave,Burns,OR,97720,Harney,,6,12,Other,Public,Alternative School,3740,Principal,David Goetz,goetzd@harneyesd.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,20,4,4,100%,,0%,,0%,,0%,,0%,,0%,,0%,4,100%,,0%,,,,,,,1,,1,,1,1,,false,,-119.0577893,43.5902632,,
Burnt River School – Unity,Burnt River School,Burnt River SD 30J,InterMountain ESD,,201 S 1st Ave,Unity,OR,97884,Baker,541-446-3336,K,12,Other,Public,Charter School,3347,Principal,Lorrie Andrews,landrews@burntriver.k12.or.us,,,No,,,Camp Baker,,,,,,,,,Yes,2013-2014 school year,Camp Baker,Did not have kids in those grades,NOT AT ALL interested,,VERY FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,33,34,18,52.9%,16,47.1%,,0%,3,8.8%,,0%,,0%,4,11.8%,27,79.4%,,0%,3,,,1,,1,3,1,2,1,8,7,7,false,,-118.1932268,44.4404929,,
Bush Elementary School – Salem,Bush Elementary School,Salem-Keizer SD 24J,Willamette ESD,Leslie Middle School – Salem,410 14th St SE,Salem,OR,97301,Marion,503-399-3134,K,5,Elementary,Public,Regular School,732,Principal,Monica Takata,Takata_monica@salkeiz.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,315,312,162,51.9%,150,48.1%,3,1%,3,1%,9,2.9%,4,1.3%,156,50%,125,40.1%,12,3.8%,55,62,47,48,42,58,,,,,,,,false,Leslie Middle School – Salem,-123.025411,44.9331,Leslie Middle School,
Butler Creek Elementary School – Portland,Butler Creek Elementary School,Centennial SD 28J,Multnomah ESD,,2789 SW Butler Rd,Portland,OR,97080,Multnomah,503-762-6100,K,6,Elementary,Public,Regular School,3649,Principal,Andrea Sande,andrea_sande@csd28j.org,,,No,,,,,,,,,,,,Yes,2007-2008 school year,Camp Namanu,Financial cuts,VERY interested,2019/2020 school year,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,561,565,282,49.9%,283,50.1%,7,1.2%,59,10.4%,15,2.7%,17,3%,91,16.1%,334,59.1%,42,7.4%,80,85,82,89,63,77,89,,,,,,,false,,-122.4584719,45.4725449,Centennial Middle School,
Butte Creek Elementary School – Mt Angel,Butte Creek Elementary School,Silver Falls SD 4J,Willamette ESD,,37569 S Hwy 213,Mt Angel,OR,97362,Marion,503-829-6803,K,8,Elementary,Public,Regular School,119,Principal,Kevin Palmer,palmer_kevin@silverfalls.k12.or.us,,,Yes,28,,Camp Westwind,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,25,,,,,,,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,"We've worked very hard over the years to provide an ODS experience at very little to no cost to families, so we appreciate what it provides our students.",,314,319,164,51.4%,155,48.6%,,0%,3,0.9%,1,0.3%,1,0.3%,54,16.9%,251,78.7%,9,2.8%,28,28,46,26,49,31,28,48,35,,,,,true,,-122.6994538,45.0634508,,
Butte Falls Charter School – Butte Falls,Butte Falls Charter School,Butte Falls SD 91,Southern Oregon ESD,,720 Laurel Ave,Butte Falls,OR,97522,Jackson,541-865-3563,K,12,Other,Public,Regular School,406,Principal,Dianne Gorman,dgorman@buttefalls.k12.or.us,Left VM 8/23 and 9/7,,,,,,,,,,,,,,,,,,,,,,,,146,189,108,57.1%,81,42.9%,1,0.5%,,0%,,0%,,0%,21,11.1%,160,84.7%,7,3.7%,8,16,16,12,13,12,15,22,17,17,11,17,13,false,,-122.5648647,42.541248,,
Butternut Creek Elementary School – Aloha,Butternut Creek Elementary School,Hillsboro SD 1J,Northwest Regional ESD,,20395 SW Florence St,Aloha,OR,97007,Washington,503-844-1390,K,6,Elementary,Public,Regular School,1147,Principal,Enedelia Schofield,schofiee@hsd.k12.or.us,,,Yes,57,6th grade,Camp Magruder,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,400,404,210,52%,194,48%,1,0.2%,22,5.4%,8,2%,3,0.7%,113,28%,227,56.2%,30,7.4%,57,58,57,59,54,61,58,,,,,,,true,,-122.887595,45.486929,R A Brown Middle School,
Cairo Elementary School – Ontario,Cairo Elementary School,Ontario SD 8C,Malheur ESD Region 14,,531 Hwy 20/26,Ontario,OR,97914,Malheur,541-889-5745,K,5,Elementary,Public,Regular School,693,Principal,Jenny Dayton,jdayton@ontario.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,139,149,70,47%,79,53%,1,0.7%,1,0.7%,,0%,,0%,94,63.1%,47,31.5%,6,4%,18,28,25,26,24,28,,,,,,,,false,,-117.0122754,43.9878004,Alameda Elementary School,
Cal Young Middle School – Eugene,Cal Young Middle School,Eugene SD 4J,Lane ESD,"Gilham Elementary School – Eugene, Willagillespie Elementary School – Eugene",2555 Gilham Rd,Eugene,OR,97401,Lane,541-790-6400,6,8,Middle,Public,Regular School,506,Principal,Jericho Dunn,dunn_j@4j.lane.edu,,,,,,,,,,,,,,,,,,,,,,,,,500,513,252,49.1%,261,50.9%,8,1.6%,26,5.1%,3,0.6%,7,1.4%,47,9.2%,384,74.9%,38,7.4%,,,,,,,169,175,169,,,,,false,"Gilham Elementary School – Eugene, Willagillespie Elementary School – Eugene",-123.0794816,44.0912068,,
Calapooia Middle School – Albany,Calapooia Middle School,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,"Lafayette Elementary School – Albany, Oak Elementary School – Albany, Periwinkle Elementary School – Albany, Sunrise Elementary School – Albany",830 24th AVE SE,Albany,OR,97322,Linn,541-967-4555,6,8,Middle,Public,Regular School,632,Principal,Gina Ayers,gina.ayers@albany.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,590,559,270,48.3%,289,51.7%,6,1.1%,2,0.4%,5,0.9%,6,1.1%,152,27.2%,364,65.1%,24,4.3%,,,,,,,192,176,191,,,,,false,"Lafayette Elementary School – Albany, Oak Elementary School – Albany, Periwinkle Elementary School – Albany, Sunrise Elementary School – Albany",-123.0926135,44.6179757,,
Camas Ridge Community Elementary School – Eugene,Camas Ridge Community Elementary School,Eugene SD 4J,Lane ESD,Theodore Roosevelt Middle School – Eugene,1150 E 29th Ave,Eugene,OR,97403,Lane,541-790-8800,K,5,Elementary,Public,Regular School,4739,Principal,Wes Flinn,flinn@4j.lane.edu,,,Yes,160,"4th grade, 5th grade",Camp Tadmor,3,2,,,,,,,,,,,,,,,,,419,416,220,52.9%,196,47.1%,5,1.2%,9,2.2%,,0%,3,0.7%,48,11.5%,296,71.2%,55,13.2%,62,58,71,65,86,74,,,,,,,,false,Theodore Roosevelt Middle School – Eugene,-123.076456,44.024961,Roosevelt Middle School,
Camas Valley School – Camas Valley,Camas Valley School,Camas Valley SD 21J,Douglas ESD,,197 Main Camas Rd,Camas Valley,OR,97416,Douglas,541-445-2131,PK,12,Other,Public,Charter School,3400,Principal,Patrick Lee,patrick.lee@camasvalley.k12.or.us,Science teacher took some students at HS level,,No,,,,,,,,,,,,,,,,,,,,,,187,196,106,54.1%,90,45.9%,3,1.5%,,0%,,0%,,0%,9,4.6%,169,86.2%,15,7.7%,18,7,14,18,10,14,14,16,18,16,21,17,13,false,,-123.6747569,43.0344564,,
Candalaria Elementary School – Salem,Candalaria Elementary School,Salem-Keizer SD 24J,Willamette ESD,Leslie Middle School – Salem,935 Hansen Ave S,Salem,OR,97302,Marion,503-399-3136,K,5,Elementary,Public,Regular School,733,Principal,Karl Paulson,paulson_karl@salkeiz.k12.or.us,,,Yes,67,5th grade,Canyonview Camp,3,2,,,,,,,,,,,,,,,,,354,341,156,45.7%,185,54.3%,2,0.6%,8,2.3%,3,0.9%,3,0.9%,28,8.2%,273,80.1%,24,7%,53,50,55,57,60,66,,,,,,,,false,Leslie Middle School – Salem,-123.0581507,44.9126006,Leslie Middle School,
Candy Lane Elementary School – Milwaukie,Candy Lane Elementary School,Oregon City SD 62,Clackamas ESD,Gardiner Middle School – Oregon City,5901 SE Hull St,Milwaukie,OR,97267,Clackamas,503-785-8150,2,5,Elementary,Public,Regular School,106,Principal,Michael Sweeten,michael.sweeten@orecity.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,271,276,130,47.1%,146,52.9%,4,1.4%,2,0.7%,2,0.7%,8,2.9%,105,38%,136,49.3%,19,6.9%,,,,90,108,78,,,,,,,,false,Gardiner Middle School – Oregon City,-122.6033437,45.3935062,Gardiner Middle School,
Canyonville Adventist Elementary School – Canyonville,Canyonville Adventist Elementary School,,,,PO Box 1155,Canyonville,OR,97417,Douglas,541-839-4053,1,8,Elementary,Private,Regular School,,,,info@cascadesacademy.org,Didn't participate in ODS this past year because didn't have any 6th graders (only have 18 students total),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-123.2811748,42.9273406,,
Canyonville School – Canyonville,Canyonville School,South Umpqua SD 19,Douglas ESD,,124 N Main,Canyonville,OR,97417,Douglas,541-839-4396,K,8,Other,Public,Regular School,289,Principal,Brody Guthrie,brody.guthrie@susd.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,185,213,111,52.1%,102,47.9%,3,1.4%,1,0.5%,,0%,,0%,22,10.3%,166,77.9%,21,9.9%,31,32,24,20,24,23,20,24,15,,,,,false,,-123.2796699,42.9282548,,
Capitol Hill Elementary School – Portland,Capitol Hill Elementary School,Portland SD 1J,Multnomah ESD,Jackson Middle School – Portland,8401 SW 17th Ave,Portland,OR,97219,Multnomah,503-916-6303,K,5,Elementary,Public,Regular School,838,Principal,Joy Williams,joywilliams@pps.net,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,439,448,225,50.2%,223,49.8%,1,0.2%,18,4%,1,0.2%,21,4.7%,47,10.5%,330,73.7%,30,6.7%,78,80,79,71,70,70,,,,,,,,false,Jackson Middle School – Portland,-122.6959409,45.4640574,Jackson Middle School,
Carden Cascade Academy – Hillsboro,Carden Cascade Academy,,,,770 NE Rogahn St,Hillsboro,OR,97124,Washington,503-844-7766,3,12,Other,Private,Regular School,,,,shatley@cathedral-or.org,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-122.9769533,45.543586,,
Carus School – Oregon City,Carus School,Canby SD 86,Clackamas ESD,,14412 S Carus Rd,Oregon City,OR,97045,Clackamas,503-263-7190,K,6,Elementary,Public,Regular School,92,Principal,Sam Thompson,thompsos@canby.k12.or.us,,,Yes,46,6th grade,Hancock Field Station,5,4,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, We use curriculum developed by an outside provider",High school mentors,We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,35,,,,,,,A BIT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,430,449,248,55.2%,201,44.8%,1,0.2%,4,0.9%,1,0.2%,1,0.2%,68,15.1%,354,78.8%,20,4.5%,50,73,56,77,65,76,52,,,,,,,true,,-122.571908,45.270742,Baker Prairie Middle School,
Cascade Heights Public Charter School – Clackamas,Cascade Heights Public Charter School,North Clackamas SD 12,Clackamas ESD,,15301 SE 92nd Ave,Clackamas,OR,97015,Clackamas,503-653-3996,K,8,Other,Public,Regular School,4475,Director,Holly Denman,h.denman@chpcs.org,,,Yes,22,6th grade,None,5,4,None,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers",We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,8,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,219,216,94,43.5%,122,56.5%,2,0.9%,26,12%,,0%,1,0.5%,8,3.7%,161,74.5%,18,8.3%,22,25,23,25,25,25,24,25,22,,,,,true,,-122.5700502,45.4120796,,
Cascade Junior High School – Turner,Cascade Junior High School,Cascade SD 5,Willamette ESD,"Cloverdale Elementary School – Turner, Aumsville Elementary School – Aumsville, Turner Elementary School – Turner",10226 Marion Rd SE,Turner,OR,97392,Marion,503-749-8030,6,8,Middle,Public,Regular School,810,Principal,Pete Rasmussen,prasmussen@cascade.k12.or.us,They pay for aides and pay for buses for students who can't stay overnight,,Yes,160,6th grade,Camp Tadmor,5,4,,"Yes, and it CONNECTS TO STATE STANDARDS",All done internally by teachers,"Teachers, aides, college student volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,A long time,,,,,,,,,,,526,554,288,52%,266,48%,5,0.9%,12,2.2%,1,0.2%,,0%,102,18.4%,420,75.8%,14,2.5%,,,,,,,179,199,176,,,,,false,"Cloverdale Elementary School – Turner, Aumsville Elementary School – Aumsville, Turner Elementary School – Turner",-122.916768,44.809194,,
Cascade Locks School – Cascade Locks,Cascade Locks School,Hood River County SD,Columbia Gorge ESD,Hood River Middle School – Hood River,300 Wa-na-pa St,Cascade Locks,OR,97014,Hood River,541-374-8467,K,5,Elementary,Public,Regular School,3372,Principal,Amy Moreland,amy.moreland@hoodriver.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,64,60,31,51.7%,29,48.3%,1,1.7%,,0%,1,1.7%,,0%,9,15%,49,81.7%,,0%,7,12,15,13,7,6,,,,,,,,false,Hood River Middle School – Hood River,-121.8931267,45.6687364,Hood River Middle School,
Cascade Middle School – Bend,Cascade Middle School,Bend-La Pine Admin SD 1,High Desert ESD,"Elk Meadow Elementary School – Bend, Pine Ridge Elementary School – Bend",19619 Mountaineer Wy,Bend,OR,97702,Deschutes,541-355-7000,6,8,Middle,Public,Regular School,242,Principal,Stephanie Bennett,steph.bennett@bend.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,569,630,344,54.6%,286,45.4%,3,0.5%,15,2.4%,1,0.2%,1,0.2%,52,8.3%,537,85.2%,21,3.3%,,,,,,,253,204,173,,,,,false,"Elk Meadow Elementary School – Bend, Pine Ridge Elementary School – Bend",-121.3413743,44.0363382,,
Cascade Middle School – Eugene,Cascade Middle School,Bethel SD 52,Lane ESD,"Fairfield Elementary School – Eugene, Malabon Elementary School – Eugene",1525 Echo Hollow Rd,Eugene,OR,97402,Lane,541-689-0641,6,8,Middle,Public,Regular School,581,Principal,Natalie Oliver,natalie.oliver@bethel.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,362,336,158,47%,178,53%,7,2.1%,6,1.8%,3,0.9%,1,0.3%,79,23.5%,224,66.7%,16,4.8%,,,,,,,93,111,132,,,,,false,"Fairfield Elementary School – Eugene, Malabon Elementary School – Eugene",-123.1665926,44.0788785,,
Cascades Academy – Bend,Cascades Academy,,,,19860 Tumalo Reservoir Rd,Bend,OR,97701,Deschutes,541-382-0699,PK,12,Other,Private,Regular School,,,,info@catlin.edu,,,No,,,,,,,,,,,,No,,,,I'm not sure,Not sure at this point,A BIT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,"As an independent school with an experiential model, our program includes activities similar to ODS that we plan and implement. Our students go on traveling school annually beginning in 2nd grade, bi-annually beginning in 4th grade. We also do a day ""outdoor school"" program in the spring for all of our lower school students PK-5th. 
***
Speaking entirely personally for a moment, I grew up in Tillamook with fantastic ODS experiences, both as a camper, and as a repeat high school counselor. I am so grateful that there are people in the state committed to continuing these opportunities for future generations of Oregonians.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-121.3320451,44.1331652,,
Cascades School – Lebanon,Cascades School,Lebanon Community SD 9,Linn Benton Lincoln ESD,Seven Oak Middle School – Lebanon,2163 7th St,Lebanon,OR,97355,Linn,541-451-8524,K,5,Elementary,Public,Regular School,652,Principal,Tami Volz,tami.volz@lebanon.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,361,344,194,56.4%,150,43.6%,5,1.5%,2,0.6%,3,0.9%,,0%,18,5.2%,292,84.9%,24,7%,47,42,62,59,71,63,,,,,,,,false,Seven Oak Middle School – Lebanon,-122.9160247,44.5251389,Seven Oak Middle School,
Cathedral School – Portland,Cathedral School,,,,110 NW 17Th Ave,Portland,OR,97209,Multnomah,503-275-9370,PK,8,Other,Private,Regular School,,,,elizabethn@cedarwoodschool.org,,,Yes,28,6th grade,Camp Namanu,6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,Program provider staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-122.6877289,45.523931,,
Catlin Gabel School – Portland,Catlin Gabel School,,,,8825 SW Barnes Rd,Portland,OR,97225,Washington,503-297-1894,PK,12,Other,Private,Regular School,,,,info2ccs@centralchristianschools.com,,,Yes,16,3-5,Hancock Field Station,4,3,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-122.7674818,45.5099948,,
Cedar Mill Elementary School – Portland,Cedar Mill Elementary School,Beaverton SD 48J,Northwest Regional ESD,Cedar Park Middle School – Portland,10265 NW Cornell Rd,Portland,OR,97229,Washington,503-356-2050,K,5,Elementary,Public,Regular School,1158,Principal,Brian Horne,brian_horne@beaverton.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,386,409,217,53.1%,192,46.9%,1,0.2%,61,14.9%,3,0.7%,7,1.7%,43,10.5%,248,60.6%,46,11.2%,64,73,67,74,67,64,,,,,,,,false,Cedar Park Middle School – Portland,-122.7829547,45.5275243,Cedar Park Middle School,
Cedar Park Middle School – Portland,Cedar Park Middle School,Beaverton SD 48J,Northwest Regional ESD,"Bonny Slope Elementary School – Portland, Cedar Mill Elementary School – Portland, Ridgewood Elementary School – Portland, Terra Linda Elementary School – Portland, West Tualatin View Elementary School – Portland, William Walker Elementary School – Portland, Raleigh Park Elementary School – Portland",11100 SW Park Way,Portland,OR,97225,Washington,503-356-2560,6,8,Middle,Public,Regular School,1180,Principal,Shannon Anderson,shannon_anderson@beaverton.k12.or.us,,,Yes,310,6th grade,"Cedar Ridge, Trickle Creek",3,2,,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,5,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,1035,1046,597,57.1%,449,42.9%,3,0.3%,86,8.2%,7,0.7%,23,2.2%,208,19.9%,642,61.4%,77,7.4%,,,,,,,342,321,383,,,,,true,"Bonny Slope Elementary School – Portland, Cedar Mill Elementary School – Portland, Ridgewood Elementary School – Portland, Terra Linda Elementary School – Portland, West Tualatin View Elementary School – Portland, William Walker Elementary School – Portland, Raleigh Park Elementary School – Portland",-122.7924259,45.5062072,,
Cedar Ridge Middle School – Sandy,Cedar Ridge Middle School,Oregon Trail SD 46,Clackamas ESD,"Firwood Elementary School – Sandy, Sandy Grade School – Sandy",17225 Smith Ave,Sandy,OR,97055,Clackamas,503-668-8067,6,8,Middle,Public,Regular School,102,Principal,Nicole Johnston,nicole.johnston@ortrail.k12.or.us,Talk to district,,No,,,,,,,,,,,,,,,,,,,,,,359,381,189,49.6%,192,50.4%,3,0.8%,,0%,6,1.6%,4,1%,63,16.5%,289,75.9%,16,4.2%,,,,,,,124,125,132,,,,,false,"Firwood Elementary School – Sandy, Sandy Grade School – Sandy",-122.260455,45.399368,,
Cedaroak Park Primary School – West Linn,Cedaroak Park Primary School,West Linn-Wilsonville SD 3J,Clackamas ESD,Rosemont Ridge Middle School – West Linn,4515 S Cedaroak Dr,West Linn,OR,97068,Clackamas,503-673-7100,PK,5,Elementary,Public,Regular School,45,Principal,Carolyn Miller,millerc@wlwv.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,275,308,167,54.2%,141,45.8%,1,0.3%,5,1.6%,,0%,1,0.3%,16,5.2%,262,85.1%,23,7.5%,53,42,48,66,40,59,,,,,,,,false,Rosemont Ridge Middle School – West Linn,-122.634154,45.388598,Rosemont Ridge Middle School,
Cedarwood Waldorf School – Portland,Cedarwood Waldorf School,,,,3030 SW 2Nd Ave,Portland,OR,97201,Multnomah,503-245-1477,PK,8,Other,Private,Regular School,,,,http://central24.adventistschoolconnect.org/article/15/contact-us,,,Yes,25,6th grade,Camp Namanu,5,4,Multnomah County ESD,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS",School staff develop the curriculum,"Parent volunteers, Program provider staff",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,12,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,We love Outdoor School!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,-122.6795537,45.5014153,,
Centennial Elementary School – Scio,Centennial Elementary School,Scio SD 95,Linn Benton Lincoln ESD,Scio Middle School – Scio,38875 NW First Ave,Scio,OR,97374,Linn,503-394-3265,K,5,Elementary,Public,Regular School,676,Principal,Luke Zedwick,luke.zedwick@scio.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,270,290,160,55.2%,130,44.8%,7,2.4%,,0%,,0%,,0%,17,5.9%,257,88.6%,9,3.1%,42,54,47,46,44,57,,,,,,,,false,Scio Middle School – Scio,-122.8507697,44.7051524,Scio Middle School,
Centennial Elementary School – Springfield,Centennial Elementary School,Springfield SD 19,Lane ESD,Hamlin Middle School – Springfield,1315 Aspen St,Springfield,OR,97477,Lane,541-744-6383,K,5,Elementary,Public,Regular School,544,Principal,Dan Sterling,dan.sterling@springfield.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,428,425,238,56%,187,44%,5,1.2%,3,0.7%,,0%,3,0.7%,119,28%,273,64.2%,22,5.2%,69,57,71,75,75,78,,,,,,,,false,Hamlin Middle School – Springfield,-123.0414661,44.0577318,Hamlin Middle School,
Central Christian School – Redmond,Central Christian School,,,,PO Box 639,Redmond,OR,97756,Deschutes,541-548-7803,PK,12,Other,Private,Regular School,,,,info2ccs@centralchristianschools.com,Do science camp for 5th or 6th grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-121.1739212,44.2726203,,
Central Elementary School – Albany,Central Elementary School,Greater Albany Public SD 8J,Linn Benton Lincoln ESD,Memorial Middle School – Albany,336 9th Ave SW,Albany,OR,97321,Linn,541-967-4561,3,5,Elementary,Public,Regular School,631,Principal,Lisa Shogren,lisa.shogren@albany.k12.or.us,,,Yes,39,"5th grade, 6th grade",Coastal Discovery Center at Camp Gray,3,2,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",OMSI,"Program provider staff, Parent volunteers",,,,,,,,,,,,,149,147,76,51.7%,71,48.3%,1,0.7%,,0%,,0%,,0%,15,10.2%,115,78.2%,16,10.9%,,,,48,56,43,,,,,,,,false,Memorial Middle School – Albany,-123.1066685,44.6304379,Memorial Middle School,
