Camp Name,Camp Owner,County,Website,Contact Name,Role,Email,Phone,Camp physical address,Camp mailing address,Do you currently provide facilities for outdoor school program(s)?,"If yes, please list school(s) and/or district(s) you serve:","If yes, list the number of weeks you provide & number of students served each school year:",Camp capacity follow-up: provided ODS in Spring 2016?,"If yes, is your camp utilized at full capacity? Or would you be able to host additional schools/providers?",Camp capacity follow-up: at full capacity?,Camp capacity follow-up comments,"If you do NOT currently provide facilities for outdoor school programs, have you done so in the past? ","If yes, please list schools and/or districts previously served, and when: ","If yes, why did you stop providing facilities for outdoor school programs? ","If you do NOT currently provide facilities to outdoor school programs, are you interested in doing so?","If no, please share your reason(s): ",Does your facility currently offer its own outdoor school program(s)?,"If yes, please describe your program(s). List web pages, if available: ","If yes, checkmark the academic standards with which the curriculum aligns (check all that apply):","Please list/explain any other specialty programming or resources your camp offers: (Art studio, blacksmithing, archery, etc.)","If you do not currently provide outdoor school programs, are you interested in doing so?","Does your camp have, or can it secure, liability insurance that meets the industry standard?",Does your camp provide program staff?,Does your camp provide a nurse or other health care professional?,Does your camp provide maintenance staff?,Does your camp provide food service staff?,Does your camp provide custodial/cleaning staff?,Is at least one of your staff (such as a caretaker) onsite at all times while camp is in session?,Camp acreage,Maximum overnight capacity,Maximum dining capacity,Does your camp have a commercial kitchen?,Dietary Needs?,Is your camp ACA accredited?,Please list any other accreditation:,Please checkmark the facilities at your camp that are ADA accessible: (Check all that apply),Are current/potential field study areas ADA accessible?,"If no, could reasonable accommodations be made to ensure all students can participate in field studies?",Please describe any accommodations needed:,"Please checkmark facilities that are weatherized (heat and insulation): (Check all that apply)

",Please checkmark your camp's bathroom facilities: (Check all that apply),Any additional information about your bathroom facilities:,Choose seasons your facility is/can be available for outdoor school: (Check all that apply),Any additional information about your seasonal availability:,Do you have sleeping units available for adult staff that are separate from student sleeping units?,"If yes, please describe: ","Other amenities/field study resources: Most outdoor school programs teach 4 field studies: water, soil, plants and animals. (Check all that apply) Ropes Course, Climbing wall, Pool, Forested Areas, Meadowland, Trails.",Campfire space(s)?,"If yes, how many and seating capacity of each campfire:","Access to water (lake, pond, river, stream, etc.)","If yes, please describe: ",Covered outdoor spaces?,"If yes, how many and dimensions: ",Other amenities/resources?,Please describe the other amenities/resources,Is there any other information about your facility you’d like us to know?,Please list any other camps in your region that might be interested in participating:,"To receive updates on the progress to fund and implement the Outdoor School Law, please list names and email(s) below:","Notes
","""Notes by Friends of Outdoor School
""",Schools,Coordinates,lon,lat,Schools
Lake of the Woods Resort,Lake of the Woods Resort LLC,Klamath,www.lakeofthewoodsresort.com,George Gregory,General Manager/ owner,lowoffice@aol.com,866-201-4194,"950 Harriman Route Klamath Falls, Or 97601","950 Harriman Route Klamath Falls, Or 97601",No,,,Yes,,"NO, we could have hosted additional schools",In the past we have hosted multiple schools for field trips resident programs and day visit type school programs. The resort is very interested in hosting more resident type programs. There are plenty of ways to do this for both charter and regular schools.,Yes,San Francisco,2009,yes,,No,,,"Hiking, lake activities, water safety, swimming boating",yes,yes,no,no,yes,yes,yes,yes,25,100,150,yes,"Vegetarian, Vegan, most dietary can be met",no,,"3 or less of sleeping units, Dining hall, Campfire space(s)",Would need more information to determine,Yes,,"All sleeping units, Dining hall, Bathroom facilities","Portable chemical toilets, Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Summer, Fall",We are closed in April,Yes,We have 6 small cabins that can accomodate adult staff,"Ropes course, Forested areas, Meadowland, Trails",Campfire space(s),Various from 10 to 50 or more,"Access to water (lake, pond, river, stream, etc.)",1500 acre natural Lake with very clean water,,,Other amenities/resources,,,,George Gregory lowoffice@aol.com,"Toilets, showers and sleeping units are not ADA accessible",,,,,,
"Union Rogue Missionary Baptist Camp, Inc.",Landmark Missionary Churches,Jackson,http://www.unionroguerivercamp.com/,Tom Koanui,Agent,tom@thecaresc.com,541-914-8441 Tom Koanui,"Mile post 49 Highway 62, Prospect, OR  97536","4028 Camellia St.Springfield, OR 97478 administrative office",No,,,,,,,"We have never hosted an Outdoor School for your organization however, we would be interested in finding out more about your Outdoor School programs. In the past, we have hosted several annual Outdoor School programs for churches and youth groups for many years. Students flourished in an environment of learning, structure, and bible, all while enjoying the wonderful outdoor and wildlife. (From survey #1)",,,Yes (From survey #1),,,,,sports,,,,,,,,Yes (From survey #1),,171,150,yes,,,,,,,,"All sleeping units, Dining hall, Bathroom facilities",,,,,,,trails,campfire spaces,,access to water,Upper Rogue River,,,,,,,,,Far from Oregon - in NE WA,,,,,
Camp Lane,Lane County Parks,Lane,http://www.lanecounty.org/Departments/PW/Parks/Pages/CountyParkDetail.aspx?ParkID=28&siteName=Camp%20Lane,,Camp Manager,,541-935-3412,"15761 Hwy. 126, Walton, OR 97490",,,,,,,,,,,,,,,,,sports,,,,,,,,,15,133,160,yes,,,,"No ""disabled access""",,,,"Dining hall, Some sleeping units
 Bathroom facilities","Showers in separate bathroom facility, Plumbed toilets in separate bathroom facility",,,,,,"trails, forested areas",campfire spaces,150,Access to water,river,,,,,,,,,,,,-123.7055758,44.0090559,
Cedar Ridge,Larry Steele,Columbia,visitcedarridge.com,Ryan Steele,General Manager,Events@visitcedarridge.com,503.429.2801,18062 Keasey Rd. Vernonia Or. 97064,PO Box 296 Vernonia Or. 97064,Yes,Northwest Regional ESD,16 app. 2200 app.,,,,,,,,,,No,,,,,Yes,No,No,Yes,Yes,Negotiable,Negotiable,32,200,250,Yes,We can meet most dietary needs.,No,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Yes,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,,"Ropes course, Pool, Forested areas, Meadowland, Trails",Campfire space(s),200,"Access to water (lake, pond, river, stream, etc.)",Rock Creek runs beside the property,Covered outdoor spaces,2  Both 1500 sq. app.,,,,,Larry Steele Lsteele15@gmail.com,,,"Alder Creek Middle School – Milwaukie, Arco Iris Spanish Immersion School – Portland, Athey Creek Middle School – West Linn, Cedar Park Middle School – Portland, Dayton Grade School – Dayton, Findley Elementary School – Portland, Fowler Middle School – Tigard, Gearhart Elementary School – Gearhart, Happy Valley Middle School – Happy Valley, Highland Park Middle School – Beaverton, Hillsboro Online Academy – Hillsboro, Imlay Elementary School – Hillsboro, Inza R Wood Middle School – Wilsonville, Jackson Elementary School – Hillsboro, Jacob Wismer Elementary School – Beaverton, Lake Oswego Middle School – Lake Oswego, Lakeridge Middle School – Lake Oswego, Lewis & Clark Elementary School – St Helens, McBride Elementary School – St Helens, Meadow Park Middle School – Beaverton, Orenco Elementary School – Hillsboro, Paul L Patterson Elementary School – Hillsboro, Rock Creek Middle School – Clackamas, Rosemont Ridge Middle School – West Linn, Rowe Middle School – Milwaukie, Seaside Heights Elementary School – Seaside, Sherwood Middle School – Sherwood, W L Henry Elementary School – Hillsboro, West Tualatin View Elementary School – Portland, Vernonia Middle School – Vernonia",,-123.197569,45.8753559,
EarthQuest Learning Adventures,Lost Valley Education & Events Center,Lane,"www.eqadventures.org, lostvallley.org",Colin Doyle,Education Director,colin@lostvalley.org,541-937-3351 x202,"81868 Lost Valley Lane, Dexter, OR 97431","81868 Lost Valley Lane, Dexter, OR 97431",No,,,,,,,Yes,"Portland Village School, June 2015; ChildPeace Montessori, Oct. 2014/spring 2015",They were one-time programs,Yes,,Yes,"EarthQuest (eqadventures.org) is for middle- and high-school groups, coming as a grade or whole school. They choose between themes of sustainability, focusing on social, personal, ecological, all three, or ancestral skills. This is not a standard outdoor school, a la 5th/6th-grade outdoor science - EarthQuest is minded more toward long-term sustainability than school science standards.",Not sure,"Part of a residential ecovillage, programs at Lost Valley have a collective social character that other sites do not.",Yes,Yes,Negotiable,Negotiable,Yes,Yes,Yes,Yes,87,55 in dorms; unlimited camping,250,Yes,All meals are vegetarian. Accommodate vegan & gluten free for every meal already. Can accommodate all other dietary needs except for extreme ones (like no seeds/nuts/gluten of any kind in the kitchen).,Negotiable,"(We are listed on the ACA site, but are not accredited.)","More than 3/less than all sleeping units, Dining hall","Some areas yes, some no",Yes,,"All sleeping units, Dining hall, Bathroom facilities, Classrooms","Composting toilets, Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",Coin and bicycle-powered laundry on site,"Winter, Spring, Summer, Fall","Highest dorm capacity in summer, which is best for camping also",Yes,"Depending on group size - for example, if the group is small, adults can sleep in a separate dorm from students","Forested areas, Meadowland, Trails",Campfire space(s),One campfire with flexible seating but generally up to 30,"Access to water (lake, pond, river, stream, etc.)",Creek and mini pond,Covered outdoor spaces,"One tarped outdoor kitchen, about 15' x 20'",Other amenities/resources,"Large Classroom, Small Classroom, Sacred Yurt, and possibly dining hall available for use","This aligns great with our mission and interest!  Education Director taught outdoor school for 2 years before this job. ADDED NOTES RECEIVED 11/17/2016: Also,
 we have the capacity to teach the content. We are 
sustainability-focused nonprofit that already has a program for middle 
school age (eqadventures.org), and I was an Outdoor Science Teacher for two years before coming to Lost Valley.

So I want us to be both a host site/camp and curriculum provider.",Circle of Children in Triangle Lake; Sky Camp in Fall Creek,colin@lostvalley.org,"Campfire, toilets, showers, field studies are not accessible. Small capacity",,,,-122.8221006,43.8902246,
Macleay Conference & Retreat Center,Macleay Conference & Retreat Center,Marion,http://experiencemacleay.org/,Grace Roth,Guest Service Director,grace.roth@macleay.org,503-851-0881,7373 Gale St SE Salem OR 97317,7373 Gale St SE Salem OR 97317,No,,,,,,,No,,,Maybe - need more information,,No,,,,Maybe - need more information,Yes,Negotiable,No,Yes,Yes,Yes,Yes,33,400,300,Yes,"Vegitarian, Dairy",Negotiable,,"3 or less of sleeping units, Toilets, Showers, Dining hall",Would need more information to determine,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Summer, Fall",,Yes,,Pool,Campfire space(s),150,"Access to water (lake, pond, river, stream, etc.)",,Covered outdoor spaces,Gazebo,Other amenities/resources,http://experiencemacleay.org/portfolio/outdoors/,,,Grace Roth grace.roth@macleay.org,Short 100 dining seats; sleeping units and campfire spaces are not ADA accessible,,,,-122.9099138,44.8989953,
Drift Creek Camp,Mennonite Camp Association of Oregon,Lincoln,www.driftcreek.org,Brenda & Tony Kauffman,Directors,info@driftcreek.org,541-992-2556,8600 S. Drift Creek Camp Road,"PO Box 1110 Lincoln City, OR 97367",Yes,"Corbett, Lincoln County, Newport, CS Lewis Academy, Salem/Keizer Schools, Doreena, Lewis and Clark College, Oregon Trail Academy","It varies every year and some groups only come every 2-3 years. I would say the average is 10 days per year with 70 students each day. The answers below are confusing. We are NOT FULL, and we would LOVE to host additional schools.",Yes,"No, we are able to host additional schools","No, we are able to host additional schools","During the school year, our camp is available most school days. We would LOVE the opportunity to host more groups, especially on weekdays when the facilities often sit vacant!",,,,Yes,,No,"We do not have enough staff to offer our own programming, though we do contribute to some programs. We do offer a nature center that has a lot of resources and supplies that schools are welcome to use. We also partner with the Straub Environmental Center to provide programs on weekends for families, individuals, etc. We often cook for groups and at times, depending on our staffing situation, been able to provide some instructors and counselors from our summer staff crew.",Not sure,"We do have a craft room, archery, some low-ropes elements. We are surrounded by a pristine mountain stream in the middle of an old growth riparian rain forest.",Yes,Yes,"We have a small staff and the on-site staff changes every two years. Our offerings are limited and depend on who is employed. We've had folks who could teach geology, native plants, photography, crafts, etc. However, currently we do not have resource people available. We do have camp constituents who may be available that we've drawn from in the past.","We do not have health care professionals on staff, but all of our staff is at least CPR/First Aid certified and again, we have camp constituents who may be willing to help.",Yes,We have 4 full time people on staff year-round. Often we are the ones who provide food service. We depend heavily on volunteers to provide food service for all of our groups. We do not have a year-round paid kitchen staff.,"Yes, we do have camp caretakers on staff, however, we also ask groups to clean up after themselves in terms of sweeping, collecting trash, filling the wood box, etc. These requested tasks are usually pretty simple.",Yes,12,190,"150 is good, but we've done more by bringing in extra tables for larger groups or eating in shifts.",Yes,"We can accommodate vegetarian, dairy and gluten-free. We plan a nut free menu for groups with kids--but our facility is not nut free. Vegan menus are challenging, but we've done it.",No,We are members of the Mennonite Camp Association and the Christian Camp and Conference Center Associaion. We are just beginning the process of collecing information about becoming ACA accredited.,"3 or less of sleeping units, Dining hall, The 3 accessible sleeping units each also have restrooms.",Would need more information to determine,Would need more information to determine,Our paths are covered in wood-chips. I don't know how hard that would be for maneuvering.,"All sleeping units, Dining hall, Bathroom facilities, The Yurt and outdoor bath house are exceptions. We do hope to weatherize the bath house if we are able to get another Gray Grant.","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit, Depends on whether you stay in the lodge or cabins. The lodge has bathrooms, the cabins use a bath house. Though at some point they may get composting toilets installed.",The bath house needs an overhaul. We had hoped to work on it with the Gray Grant we received in 2015 but other projects made it to the top of the list. The bath house has 3-4 showers and 3-4 toilets and 3-4 sinks for each side (boys' side/girls' side).,"Winter, Spring, Summer, Fall",Summer would be more difficult as at least 9-10 weeks are already booked for summer camp programs.,Yes,"We do not have a lot of staff space, but we do have a couple of cabins and smaller private rooms in the lodge.","Climbing wall, Forested areas, Meadowland, Trails",Campfire space(s),"We can seat at least 100 at the campfire, amphitheate and on benches in our covered Activity Center. We do have a few low ropes elements, but not enough to be considered a ropes course.","Access to water (lake, pond, river, stream, etc.)",Drift Creek--a calm stream in summer and full-on river in the winter!,Covered outdoor spaces,"The Activity Center--not sure off hand of dimensions, big enough to house a basketball court, climbing wall and benches for 100+ at the fireplace.",Other amenities/resources,"Hillside amphitheater with built-in benches, seats approximately 120.",We are off the grid. We hope to some day implement a micro hydro generator that can be used as a learning tool for groups.,"Camp Westwind, Camp Wi-ne-ma, Twin Rocks Friends Camp","Brenda and Tony Kauffman, info@driftcreek.org",,,Toledo Elementary School – Toledo,,-123.9112973,44.9028212,
Mt Hood Summer Ski Camp,Mike Annett,Clackamas,www.mthood.com,Mike Annett,Director,mike@mthood.com,503-337-2288,93732 E Highway 26,PO Box 317,No,,,No,,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,,No,,,Yes,,No,,,,Yes,Yes,Negotiable,Negotiable,Yes,Yes,Yes,Yes,12,110,110,Yes,all except kosher,No,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Would need more information to determine,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Fall",,No,,"Ropes course, Forested areas, Meadowland, Trails",Campfire space(s),10,,,,,,,,,,** They are interested in hosting ODS. No access to natural water; does not have 4 ADA accessible sleeping units,,,,,,
Mt. Hood Kiwanis Camp,Mt. Hood Kiwanis Camp Inc.,Clackamas,MHKC.org,Allan Cushing,Rentals & Volunteers Coordinator,Allan@MHKC.org,971.230.2930,"83500 E Kiwanis Camp Rd. Government Camp, OR 97028","10725 SW Barbur Blvd. Suite 50 Portland, OR 97219",Yes,MESD Oregon Trail Program,10 weeks (including a week of training) & about 1800 students (not positive since it is our first time hosting in 8 years),,"No, we are able to host additional schools",,,,,,,,No,,,,,Yes,No,No,Yes,Yes,Yes/No We clean on weekends when Outdoor School is gone. During the week we provide everything they need and are available for special occurances.,Yes,22.5,"125 (Including chaperones, leaders, & staff)",187,Yes,"Vegetarian, Vegan, Gluten Free, Nut Free, Dairy Free (Any combo of these) Other dietary needs we can do on a case by case basis with the option of having that person bring supplemental food",Yes,,"All sleeping units, Toilets, Showers, Dining hall, Campfire space(s), MHKC is a Camp for people with disabilities during the summer.",Yes,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit, Every Lodge onsite has it own bathrooms/showers as well as we have an additional bathhouse by our pool area",Everything is ADA accessible with showering chairs available.,"Winter, Spring, Fall",We are open to anytime outside of June to Labor day weekend.,Yes,We have 3 main lodges that as well as 2 small cabins. THe Main lodges are broken up into different rooms of different sizes (lodge dependent),"Ropes course, Climbing wall, Pool, Forested areas, Trails",Campfire space(s),"Main Stage/Firepit area 200, Smaller pit areas throughout Camp15-20 (we have 4 such areas)","Access to water (lake, pond, river, stream, etc.)",THe Litlle Zig Zag River runs through Camp but it is very fast and we do not allow people to go into the river. We do have a waterful at the end of a 2/3 mile hike,Covered outdoor spaces,"We have portable tents the can be set place but the are only about 5'x10', or so",Other amenities/resources,"Horse Coral, we do not have horses throughout the year but you are welcome to use the space.",Not about my facility but something to help you with this surevey. The text windows are so small that it is very hard to read what you have wrote/spell check/grammer check. If they were bigger in places it would really help with filling this out.,"Arrah Wanna, Camp Collins (I believe you already use both sites)",,,,,,-121.8071795,45.3122313,
Whole Earth Nature School,Nonprofit,Lane,http://wholeearth.org,Matt Bradley,Executive Director,matt@wholeearthschool.com,5415179098,"3215 Flowery Trail Road, Chewelah, WA 99109",PO Box 5223,No,,,,,,,No,,,No,We don't own/control a facility. We occasionally use other's facilities,Yes,It's very limited and new at this point and we have served one school primarily. We are looking to expand.,Not sure,"Wilderness skills/survival, Tracking, Bird language, ethnobotany, archery and bowmaking, knife use, etc.",Yes,Yes,Yes,No,No,Negotiable,No,,NA,NA,NA,No,,No,,,No,Would need more information to determine,,,,,"Winter, Spring, Fall",,No,,"Forested areas, Meadowland, Trails",Campfire space(s),,,,,,,,,"Camp Lane, Triangle Lake Center, Many Hands Community, Sky Camp, Camp Harlow, Lost Valley",,Does not own their own facility.,"""Campfire, toilets, showers, field studies are not accessible. Small capacity""",,,-117.5750651,48.3116653,
Camp Crestview,North Pacific District of the Foursquare Church,Multnomah,http://www.campcrestview.com/,Micah Escalante,Camp Manager,campcrestview@foursquare.org,503-695-2227,1601 NE Crestview Lane Corbett OR 97019,"PO Box 132 Corbett, OR 97019",,,,,,,,,,,,,,,,"paintball, gym, archery, sports,",,,,,,Yes*,,,50+,220,300?,yes,,,,toilets,,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in sleeping unit, Showers in sleeping unit",,,,,,"trails, climbing wall,  pool, ropes course, forested areas",campfire spaces,,Access to water,Fishing pond,,,,,,,,,,,,-122.272353,45.53528,
Upward Bound,not for profit,Linn,upward.bound.camp@gmail.com,"Laura J Pierce, Exec. Dir.",Exec. Director,ubc.laura.j.pierce@gmail.com,503-897-2447,"493 N 3rd Ave, Stayton, OR 97383","PO BOX C, Stayton, Oregon  97383",No,,,,,,,Yes,"1987-90's, local schools",unification of school districts,Yes,,Yes,adapted to special needs,adapted curriculum,"archery, fishing, animal husbandry, horticulture, art, drama,",Yes,Yes,Negotiable,Yes,Yes,Yes,Yes,Yes,20,60,60,Yes,very experienced in special diet plans of all kinds,Yes,,"All sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,Yes,,"Some sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility",,"Winter, Spring, Summer, Fall",,Yes,no amenities cabins,"Forested areas, Trails",Campfire space(s),"3> 20, 30, 60","Access to water (lake, pond, river, stream, etc.)","River,stream, pond",Covered outdoor spaces,"20 X 20,20X30, 30X40, 15 X12, 20 X12",Other amenities/resources,"fire trucks, ambulance, gym, theater, outdoor pavillions","UBC has received twenty years consecutive awards for safety. Licensed EMS staff live on site. One facility has an indoor gym, theater and classrooms.",,"Laura J Pierce, upward.bound.camp@gmail.com",Sleeping units are not weatherized,,,,-122.792441,44.7985048,
Camp Tadmor,NW Conservative Baptist Assoc,Linn,www.tadmor.org,Dave Bertz,Dir. of Business and Operations,daveb@cbnw.org,541-451-2870,43943 McDowell Creek Dr Lebanon OR,43943 McDowell Creek Dr Lebanon OR,Yes,"We serve 13 schools or districts, list can be provided if needed","Provide 13 weeks, could do more, avg. 110 per week",Yes,"No, we are able to host additional schools","No, we are able to host additional schools",,,,,,,No,,,,No,Yes,No,No,Yes,Yes,Yes,Yes,205,220,220,Yes,"We provide an allergy station for prep, it is difficult for our kitchen to handle special diets",No,Member of  CCCA,"3 or less of sleeping units, Toilets, Showers, Dining hall","Some are, not all",Would need more information to determine,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,Staff dorms,"Ropes course, Climbing wall, Forested areas, Trails",Campfire space(s),60 & 250,"Access to water (lake, pond, river, stream, etc.)","4+ acre lake, 2 small ponds, 2 creeks",,,Other amenities/resources,"200 forested acres, surrounded by commercial timber land that can be accessed for study",,,,,,"Harrison Elementary School – Cottage Grove, Philomath Middle School – Philomath, Seven Oak Middle School – Lebanon, Stayton Middle School – Stayton, Sweet Home Charter School – Sweet Home, Holley Elementary School – Sweet Home, Oak Heights Elementary School – Sweet Home, Alsea Elementary School – Alsea, Scio Middle School – Scio, Hamilton Creek School – Lebanon, Lacomb School – Lebanon, Zion Lutheran School – Corvallis, Monroe Grade School – Monroe, Pioneer School – Lebanon, Cascade Junior High School – Turner, Hawthorne Elementary School – Sweet Home, Silverton Middle School – Silverton, Camas Ridge Community Elementary School – Eugene",,-122.647483,44.467751,
Coastal Discovery Center at Camp Gray,OMSI,Lincoln,https://www.omsi.edu/story/coastal-discovery-center,Steve Tritz,Director of Outdoor Education,stritz@omsi.edu,5037674627,3400 SW Abalone Street South Beach OR 97366,3400 SW Abalone Street South Beach OR 97366,Yes,"Many, from all over Oregon and Washington","18 weeks, 3,000",yes,"No, we are able to host additional schools","NO, we could have hosted additional schools",,,,,,We already do offer OMSI outdoor school programming,yes,programs are listed at: http://programs.omsi.edu/programs?field_location_tid[]=2,Oregon Science Standards (Next Generation Science Standards),,,Yes,yes,All staff are WFR certified,yes,yes,Program staff fill this role,Yes,20,156,156,yes,"We can accomodate most food allergies to a reasonable point. We can not gurantee zero chance of contamination as we only have one kitchen and cooking utensils, while washed, may be used to prepare different foods throughout the year. But we generally can accommodate most dietary needs.",yes,,"All sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Would need more information to determine,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in sleeping unit, Showers in sleeping unit",,"Winter, Spring, Fall",,Yes,we have seperate rooms for adult to sleep in if needed.  Cabins can be configured to provide smaller rooms.,"Forested areas, Trails",campfire spaces,4.  3 at 50 1 at 156,access to water,ocean,covered outdoor spaces,teaching spaces covered in the cabin areas,,,"While the acreage is mall we have access to South Beach State Park land.  As well as other surrounding ares like Seal Rosks, and Yaquina Head Outstanding Natural Area.",,,,Year-round snow problematic for field studies; limited seasonal availability due to use as a snowboard camp,"Bellview Elementary School – Ashland, Black Butte Elementary School – Camp Sherman, Cobb School – Roseburg, Grandhaven Elementary School – McMinnville, Hoover Elementary School – Corvallis, Malin Elementary School – Malin, Mosier Community School – Mosier, North Albany Middle School – Albany, Oak Grove Elementary School – Albany, Raleigh Hills Elementary School – Portland, Springwater Environmental Sciences School – Oregon City, St John The Baptist Catholic School – Milwaukie, St Stephens Academy – Beaverton, West Hills Montessori School-Vermont – Portland, Wilson Elementary School – Corvallis, Bethany Charter School – Silverton, North Albany Elementary School – Albany, Keno Elementary School – Keno, Central Elementary School – Albany, Kings Valley Charter School – Philomath, Taft Elementary School – Lincoln City, Rosa Parks Elementary School – Portland, St Francis School – Sherwood, Bridges Middle School – Portland, Abraham Lincoln Elementary School – Medford, Shasta Elementary School – Klamath Falls, Llewellyn Elementary School – Portland, St Cecilia School – Beaverton, Sublimity Elementary School – Sublimity, St Francis Of Assisi School – Bend, Adams Elementary School – Eugene, Lincoln Elementary School – Corvallis, Rock Creek Elementary School – Portland, Queen Of Peace School – Salem, German American School Of Portland – Beaverton, Glide Elementary School – Glide, Stearns Elementary School – Klamath Falls, Adams Elementary School – Corvallis, Edwards Elementary School – Newberg, Mari-Linn Elementary School – Lyons, Franciscan Montessori Earth School – Portland, Our Lady Of The Lake School – Lake Oswego, Ashbrook Independent School – Corvallis, Sunstone Montessori School – Portland, Hines Middle School – Hines, Silvies River Charter School – Frenchglen, Buckman Elementary School – Portland, Fossil Distance Learning – Fossil, Oregon Home School – Oregon City, Merrill Elementary School – Merrill",,-124.0548765,44.6152264,
Hancock Field Station,OMSI,Wheeler,www.omsi.edu,Steve Tritz,Director of Outdoor Science Education,stritz@omsi.edu,5037674627,39472 Hwy 218 Fossil OR 97830,39472 Hwy 218 Fossil OR 97830,Yes,Many different schools and districts across the state,"18 weeks, 2,000",yes,"No, we are able to host additional schools","NO, we could have hosted additional schools",,,,,,We already do offer OMSI outdoor school programming,yes,http://programs.omsi.edu/programs?field_location_tid[]=2,Oregon Science Standards (Next Generation Science Standards),,,Yes,yes,All staff are WFR certified,yes,yes,Program staff fill this role,yes,10,112,100,yes,"We can accomodate most food allergies to a reasonable point. We can not gurantee zero chance of contamination as we only have one kitchen and cooking utensils, while washed, may be used to prepare different foods throughout the year. But we generally can accommodate most dietary needs.",yes,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Would need more information to determine,,"Some sleeping units, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,we have seperate smaller A-frame cabins that adults could use depending on numbers and supervision requirements.,"Climbing wall, Meadowland, Trails",Campfire space(s),"2.  1 at approx 100, the other at approx 50",,,,,,,"Hancock has access to the all the trails on the John Day FOssil Beds National Monument approx 2,000 acres, as well as the Pin Creek Conservation area which has approx 35,000 acres",,,,"""Sleeping units, showers, dining hall, and campfire spaces are not ADA accessible; small capacity""","Irrigon Elementary School – Irrigon, Ninety-One School – Hubbard, Carus School – Oregon City, Clatskanie Elementary School – Clatskanie, Jefferson Elementary School – Corvallis, Raleigh Hills Elementary School – Portland, Sheridan AllPrep Academy – Sheridan, St Marys Academy – The Dalles, St Paul Parochial School – Saint Paul, Lookingglass Elementary School – Roseburg, Southwest Charter School – Portland, City Christian Schools – Portland, Eddyville Charter School – Eddyville, Alameda Elementary School – Portland, Lewis and Clark Montessori Charter School – Gresham, Dayville School – Dayville, John Tuck Elementary School – Redmond, Park Academy – Lake Oswego, Montessori School of Beaverton Ltd – Portland, Imbler Charter School – Imbler, Childpeace Montessori Community School – Portland, Boones Ferry Primary School – Wilsonville, WyEast Middle School – Hood River, Hood River Middle School – Hood River, Harmony Montessori School – Portland, St Marys School – Medford, St Mary Catholic School – Stayton, St Cecilia School – Beaverton, French American International School – Portland, Juniper Elementary School – Bend, Metropolitan Learning Center – Portland, Bend International School – Bend, Elkton Charter School – Elkton, Catlin Gabel School – Portland",,-120.4650691,44.9156051,"Seneca Elementary School – Seneca, Colonel Wright Elementary School – The Dalles, Fossil Charter School – Fossil, Frenchglen Elementary School – Frenchglen"
